Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;
2004 22 1;34;24042131093;7;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;35;24042110485;4;0;0;1;0;1;0;0;0;0;0;0;0;0;
2004 22 1;36;24042160147;13;1;0;0;0;0;0;0;1;0;0;0;0;0;
2004 22 1;37;24042110305;7;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;38;24042130588;7;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;39;24042130945;7;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;40;24042110284;7;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;41;24042130953;7;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;42;24042140511;13;0;1;1;0;0;0;0;1;0;0;1;0;0;
2004 22 1;43;24042131058;7;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;44;24042110324;7;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;45;24042130603;7;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;46;24042140194;7;0;0;0;1;0;0;0;1;0;0;0;0;0;
2004 22 1;47;24042140881;12;1;0;1;0;0;0;0;0;0;0;1;0;0;
2004 22 1;48;24042131025;12;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;49;24042050290;12;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 22 1;50;24042130941;12;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;51;24042140920;12;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;52;24042110336;7;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;53;24042150483;3;0;1;1;0;0;0;0;1;0;0;0;0;0;
2004 22 1;54;24042131268;9;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;55;24042140962;12;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;56;24042110104;9;0;0;0;1;0;0;0;0;1;0;0;0;0;
2004 22 1;57;24042140424;12;1;0;1;0;0;0;0;0;0;0;1;1;0;
2004 22 1;58;24042140921;12;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;59;24042120155;12;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;60;24042140960;12;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;61;24042150358;12;0;0;0;1;0;0;1;1;0;0;0;0;0;
2004 22 1;62;24042140852;10;1;0;1;0;0;1;0;0;0;0;0;0;0;
2004 22 1;63;24042110649;5;0;1;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;64;24042120001;5;1;0;1;0;0;0;0;0;0;0;1;0;0;
2004 22 1;65;24042110184;5;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 22 1;66;24042130976;11;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;67;24042210703;11;1;0;0;0;0;0;0;1;0;0;0;0;0;
2004 22 1;68;24042110046;5;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;69;24042130973;11;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;70;24042131062;11;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;71;24042110130;3;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;72;24042110585;3;0;1;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;73;24042140884;3;1;0;1;0;0;0;0;0;0;1;1;1;0;
2004 22 1;74;24042140198;7;0;0;0;1;0;0;0;1;0;0;0;0;0;
2004 22 1;75;24042130715;7;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;76;24042141092;7;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;77;24042110004;7;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;78;24042131283;7;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;79;24042120159;7;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;80;24041204232;7;0;1;1;0;0;0;0;1;0;0;0;0;0;
2004 22 1;81;24042141103;7;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;82;24042110401;7;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;83;24042131339;4;0;0;1;0;1;0;0;0;0;0;0;0;0;
2004 22 1;84;24042141096;7;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;85;24042150290;7;0;0;1;1;0;0;0;1;0;0;1;0;0;
2004 22 1;86;24042131296;7;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;87;24042140953;12;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;88;24042110408;12;0;0;0;1;0;0;1;0;1;0;0;0;0;
2004 22 1;89;24042140964;12;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;90;24042110657;12;0;1;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;91;24042130956;12;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;92;24042140091;1;0;0;1;1;0;0;0;1;0;0;1;0;0;
2004 22 1;93;24042131321;1;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;94;24042060041;1;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;95;24042130728;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;96;24042110500;3;0;1;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;97;24042110299;1;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;98;24042120582;1;1;0;1;0;0;0;0;0;0;0;0;1;0;
2004 22 1;99;24042210881;1;1;0;0;0;0;0;0;1;0;0;0;0;0;
2004 22 1;100;24042110040;1;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;101;24042131044;1;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;102;24042131347;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;103;24042850079;1;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;104;24042210532;13;1;0;0;0;0;0;0;1;0;0;0;0;0;
2004 22 1;105;24042130696;13;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;106;24042120491;3;0;1;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;107;24042110115;3;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;108;24042131244;9;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;109;24042210690;9;1;0;1;0;0;0;0;1;0;0;0;0;0;
2004 22 1;110;24042110109;9;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 22 1;111;24042120918;1;1;0;1;0;0;0;0;0;0;0;1;0;0;
2004 22 1;112;24042131026;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;113;24042110150;1;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;114;24042131335;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;115;24042131139;9;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;116;24042140533;9;0;1;1;0;0;0;0;1;0;0;1;0;0;
2004 22 1;117;24042130739;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;118;24042130745;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;119;24042110036;1;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;120;24042130639;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;121;24042140246;1;0;0;0;1;0;0;0;1;0;0;0;0;0;
2004 22 1;122;24042130736;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;123;24042131087;3;1;0;0;0;0;1;0;0;0;1;0;1;0;
2004 22 1;124;24042110033;3;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;125;24042130653;10;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;126;24042110581;10;0;1;0;0;0;0;1;0;0;0;0;0;0;
2004 22 1;127;24042130647;10;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;128;24042140197;7;0;0;0;1;0;0;0;1;0;0;0;0;0;
2004 22 1;129;24042131334;3;1;0;1;0;0;0;0;0;0;0;1;0;0;
2004 22 1;130;24042131012;5;0;0;1;0;1;0;0;0;0;0;0;0;0;
2004 22 1;131;24042131126;10;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;132;24042120229;5;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;133;24042030003;6;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;134;24042130577;6;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;135;24042150385;5;0;0;0;1;0;0;0;1;0;0;0;0;0;
2004 22 1;136;24042110599;3;0;1;1;0;0;0;0;0;0;0;1;0;0;
2004 22 1;137;24042131348;5;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;138;24042160006;5;0;0;1;1;0;0;0;1;1;0;0;0;0;
2004 22 1;139;24042131230;7;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;140;24042120144;7;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;141;24042141082;7;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;142;24042131035;7;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;143;24042140199;7;0;0;0;1;0;0;0;1;0;0;0;0;0;
2004 22 1;144;24042120909;13;1;0;1;0;0;0;0;0;0;0;1;0;0;
2004 22 1;145;24042140209;9;0;0;0;1;0;0;0;1;0;0;0;0;0;
2004 22 1;146;24042110488;3;0;1;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;147;24042131178;1;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;148;24042120583;1;1;0;1;0;0;0;0;0;0;0;0;1;0;
2004 22 1;149;24042040330;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 22 1;150;24042120495;1;1;0;1;0;0;0;0;0;0;0;1;0;0;
2004 22 1;151;24042210866;1;1;0;0;0;0;0;0;1;0;0;0;0;0;
2004 22 1;152;24042110389;1;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;153;24042131046;1;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;154;24042110397;1;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;155;24042130774;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;156;24042150439;3;0;1;0;0;0;0;1;1;0;1;0;1;0;
2004 22 1;157;24042110316;7;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;158;24042130607;7;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;159;24042141094;7;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;160;24042120200;7;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;161;24042131239;7;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;162;24042110154;7;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;163;24042141085;7;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;164;24042150516;3;0;1;1;0;0;0;0;1;0;0;0;0;0;
2004 22 1;165;24042110410;3;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;166;24042130946;9;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;167;24042130735;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;168;24042110343;1;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;169;24042131100;9;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;170;24042110808;9;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;171;24042140212;9;0;0;0;1;0;0;0;1;0;0;0;0;0;
2004 22 1;172;24042120920;9;1;0;1;0;0;0;0;0;0;0;1;0;0;
2004 22 1;173;24042131036;9;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;174;24042110474;9;0;1;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;175;24042140426;9;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;176;24042140936;12;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;177;24042110434;12;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 22 1;178;24042210885;10;1;0;1;0;0;0;0;1;0;0;1;0;0;
2004 22 1;179;24042131340;4;0;0;1;0;1;0;0;0;0;0;0;0;0;
2004 22 1;180;24042131154;9;1;0;0;0;0;1;0;0;0;1;0;1;0;
2004 22 1;181;24042120056;9;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;182;24042160137;9;1;0;0;0;0;0;0;1;0;0;0;0;0;
2004 22 1;183;24042141175;9;1;0;1;0;0;0;0;0;0;0;1;0;0;
2004 22 1;184;24042110005;7;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 22 1;185;24042131033;7;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;186;24042111071;7;0;1;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;187;24042131306;7;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;188;24042150386;7;0;0;1;1;0;0;0;1;1;0;1;0;0;
2004 22 1;189;24042141101;7;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;190;24042130757;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;191;24042110209;1;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;192;24042141167;1;1;0;1;0;0;0;0;0;0;0;1;0;0;
2004 22 1;193;24042120875;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;194;24042150308;1;0;0;1;1;0;0;0;1;0;0;0;0;0;
2004 22 1;195;24042131199;1;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;196;24042131358;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;197;24042110009;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 22 1;198;24042110597;3;0;1;1;0;0;0;0;0;0;0;1;0;0;
2004 22 1;199;24042141145;1;1;0;0;0;0;0;1;0;0;0;0;0;0;
2004 22 1;200;24042131028;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;201;24042160072;1;0;0;0;1;0;0;0;1;0;0;0;0;0;
2004 22 1;202;24042131326;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;203;24042131258;1;1;0;0;0;0;1;0;0;0;1;0;1;0;
2004 22 1;204;24042110369;1;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;205;24042140959;12;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;206;24042110238;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 22 1;207;24042131021;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;208;24042140466;1;0;1;0;0;0;0;0;1;0;0;0;0;0;
2004 22 1;209;24042110300;1;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;210;24042131176;1;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;211;24042130986;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;212;24042110419;1;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;213;24042210717;1;1;0;0;0;0;0;0;1;0;0;0;0;0;
2004 22 1;214;24042141161;1;1;0;1;0;0;0;0;0;0;0;1;0;0;
2004 22 1;215;24042110194;1;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;216;24042120854;10;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;217;24042110210;3;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;218;24042131275;3;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;219;24042110672;3;0;1;1;0;0;0;0;0;0;0;1;0;0;
2004 22 1;220;24042210642;11;1;0;1;0;0;0;0;1;0;0;0;0;0;
2004 22 1;221;24042110214;1;0;0;0;1;0;0;0;0;1;0;0;0;0;
2004 22 1;222;24042140926;12;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;223;24042120835;8;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;224;24042110321;8;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;225;24042131308;9;1;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 1;226;24042130967;4;0;0;1;0;1;0;0;0;0;0;0;0;0;
2004 22 1;227;24042130695;13;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;228;24042210661;13;1;0;0;0;0;0;0;1;0;0;0;0;0;
2004 22 1;229;24042110328;7;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;230;24042130597;12;1;0;1;0;0;0;0;0;0;0;0;1;0;
2004 22 1;231;24042110580;7;0;1;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;232;24042120153;7;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;233;24042131294;7;1;0;1;0;0;1;0;0;0;0;0;0;0;
2004 22 1;234;24042131337;7;1;0;1;0;0;0;0;0;0;0;1;0;0;
2004 22 1;235;24042160011;7;0;0;1;1;0;0;0;1;0;0;0;0;0;
2004 22 1;236;24042141100;7;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;237;24042130970;4;0;0;1;0;1;0;0;0;0;0;0;0;0;
2004 22 1;238;24042130641;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;239;24042110081;1;0;0;0;1;0;0;1;0;0;0;0;0;0;
2004 22 1;240;24042130718;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;241;24042140508;13;0;1;1;0;0;0;0;1;0;0;1;0;0;
2004 22 1;242;24042131150;7;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;243;24042131034;7;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;244;24042110302;7;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;245;24042141086;7;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;246;24042130780;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;247;24042110160;1;0;0;1;1;0;0;0;0;0;0;0;0;0;
2004 22 1;248;24042210666;1;1;0;0;0;0;0;0;1;0;0;0;0;0;
2004 22 1;249;24042110344;1;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;250;24042131279;1;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;251;24042130778;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;252;24042110337;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 22 1;253;24042140491;1;0;1;1;0;0;0;0;1;0;0;1;0;0;
2004 22 1;254;24042130598;12;1;0;1;0;0;0;0;0;0;0;0;1;0;
2004 22 1;255;24042120449;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 22 1;256;24042131027;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;257;24042110301;1;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;258;24042131047;1;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;259;24042130624;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;260;24042150304;1;0;0;1;1;0;0;0;1;0;0;0;0;0;
2004 22 1;261;24042130754;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;262;24042110367;1;0;0;1;1;0;0;0;0;0;0;1;0;0;
2004 22 1;263;24042110590;9;0;1;0;0;0;0;0;0;0;0;0;0;0;
2004 22 1;264;24042131023;9;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;265;24042120212;9;0;0;1;1;0;0;0;0;1;1;1;0;0;
2004 22 1;266;24042131280;9;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 1;267;24042130763;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;268;24042160012;1;0;0;0;1;0;0;0;1;0;0;0;0;0;
2004 22 1;269;24042130758;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 1;270;24042130753;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
