Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;LPRC1;LPRC2;
2004 22 3;44;35042230385;3;1;1;0;0;1;
2004 22 3;45;35042230395;7;0;1;0;0;0;
2004 22 3;46;35042230373;3;1;1;0;0;1;
2004 22 3;47;35042230376;7;0;1;0;0;0;
2004 22 3;48;35042230384;3;1;1;0;0;1;
2004 22 3;49;35042240106;4;0;0;0;0;0;
2004 22 3;50;35042230383;3;1;1;0;0;1;
2004 22 3;51;35042230286;3;1;1;0;0;1;
2004 22 3;52;35042205197;6;0;0;1;1;0;
2004 22 3;53;35042230327;3;1;1;0;0;1;
2004 22 3;54;35042230267;3;1;1;0;0;1;
2004 22 3;55;35042230321;3;1;1;0;0;1;
2004 22 3;56;35042205203;6;0;0;1;1;0;
2004 22 3;57;35042230271;3;1;1;0;0;1;
2004 22 3;58;35042230276;3;1;1;0;0;1;
2004 22 3;59;35042230474;1;0;0;0;0;0;
2004 22 3;60;35042230255;3;1;1;0;0;1;
2004 22 3;61;35042230266;3;1;1;0;0;1;
2004 22 3;62;35042240098;1;0;0;0;0;0;
2004 22 3;63;35042230238;3;1;1;0;0;1;
2004 22 3;64;35042230345;3;1;1;0;0;1;
2004 22 3;65;35042240101;1;0;0;0;0;0;
2004 22 3;66;35042230294;3;1;1;0;0;1;
2004 22 3;67;35042230265;3;1;1;0;0;1;
2004 22 3;68;35042205200;6;0;0;1;1;0;
2004 22 3;69;35042230310;3;1;1;0;0;1;
2004 22 3;70;35042230291;3;1;1;0;0;1;
2004 22 3;71;35042240104;1;0;0;0;0;0;
2004 22 3;72;35042230297;3;1;1;0;0;1;
2004 22 3;73;35042230304;3;1;1;0;0;1;
2004 22 3;74;35042240102;1;0;0;0;0;0;
2004 22 3;75;35042230344;3;1;1;0;0;1;
2004 22 3;76;35042220120;2;0;1;0;0;0;
2004 22 3;77;35042230298;3;1;1;0;0;1;
2004 22 3;78;35042230396;2;0;1;0;0;0;
2004 22 3;79;35042230355;3;1;1;0;0;1;
2004 22 3;80;35042205198;6;0;0;1;1;0;
2004 22 3;81;35042230300;3;1;1;0;0;1;
2004 22 3;82;35042230309;3;1;1;0;0;1;
2004 22 3;83;35042205201;6;0;0;1;1;0;
2004 22 3;84;35042230324;3;1;1;0;0;1;
2004 22 3;85;35042230251;3;1;1;0;0;1;
2004 22 3;86;35042240109;4;0;0;0;0;0;
2004 22 3;87;35042230281;3;1;1;0;0;1;
2004 22 3;88;35042230316;3;1;1;0;0;1;
2004 22 3;89;35042230341;3;1;1;0;0;1;
2004 22 3;90;35042240110;4;0;0;0;0;0;
2004 22 3;91;35042230331;3;1;1;0;0;1;
2004 22 3;92;35042230312;3;1;1;0;0;1;
2004 22 3;93;35042240107;4;0;0;0;0;0;
2004 22 3;94;35042220197;4;1;1;0;0;1;
2004 22 3;95;35042230387;7;0;1;0;0;0;
2004 22 3;96;35042240152;4;1;0;1;0;0;
2004 22 3;97;35042230397;7;0;1;0;0;0;
2004 22 3;98;35042230285;3;1;1;0;0;1;
2004 22 3;99;35042240111;4;0;0;0;0;0;
2004 22 3;100;35042230325;3;1;1;0;0;1;
2004 22 3;101;35042230377;7;0;1;0;0;0;
2004 22 3;102;35042310007;7;1;0;1;0;0;
2004 22 3;103;35042140464;7;0;1;0;0;0;
2004 22 3;104;35042230349;3;1;1;0;0;1;
2004 22 3;105;35042230283;3;1;1;0;0;1;
2004 22 3;106;35042240108;4;0;0;0;0;0;
2004 22 3;107;35042230270;3;1;1;0;0;1;
2004 22 3;108;35042210205;5;0;1;0;0;0;
2004 22 3;109;35042230280;3;1;1;0;0;1;
2004 22 3;110;35042210293;5;0;1;0;0;0;
2004 22 3;111;35042230337;3;1;1;0;0;1;
2004 22 3;112;35042610001;5;0;0;1;0;0;
2004 22 3;113;35042230348;3;1;1;0;0;1;
2004 22 3;114;35042220071;5;0;1;0;0;0;
2004 22 3;115;35042230248;3;1;1;0;0;1;
2004 22 3;116;35042220086;5;0;1;0;0;0;
2004 22 3;117;35042230308;3;1;1;0;0;1;
2004 22 3;118;35042220088;5;0;1;0;0;0;
2004 22 3;119;35042230342;3;1;1;0;0;1;
2004 22 3;120;35042220097;5;0;1;0;0;0;
2004 22 3;121;35042230272;3;1;1;0;0;1;
2004 22 3;122;35042220074;5;0;1;0;0;0;
2004 22 3;123;35042230282;3;1;1;0;0;1;
2004 22 3;124;35042210183;5;0;1;0;0;0;
2004 22 3;125;35042230253;3;1;1;0;0;1;
2004 22 3;126;35042205194;6;0;0;1;1;0;
2004 22 3;127;35042230262;3;1;1;0;0;1;
2004 22 3;128;35042230249;3;1;1;0;0;1;
2004 22 3;129;35042205202;6;0;0;1;1;0;
2004 22 3;130;35042230252;3;1;1;0;0;1;
2004 22 3;131;35042230279;3;1;1;0;0;1;
2004 22 3;132;35042230288;3;1;1;0;0;1;
2004 22 3;133;35042150146;7;0;1;0;0;0;
2004 22 3;134;35042230338;3;1;1;0;0;1;
2004 22 3;135;35042230391;7;0;1;0;0;0;
2004 22 3;136;35042230359;3;1;1;0;0;1;
2004 22 3;137;35042230378;7;0;1;0;0;0;
2004 22 3;138;35042230326;3;1;1;0;0;1;
2004 22 3;139;35042230379;7;0;1;0;0;0;
2004 22 3;140;35042230317;3;1;1;0;0;1;
2004 22 3;141;35042205204;6;0;0;1;1;0;
2004 22 3;142;35042230362;3;1;1;0;0;1;
2004 22 3;143;35042230370;7;0;1;0;0;0;
2004 22 3;144;35042230336;3;1;1;0;0;1;
2004 22 3;145;35042240103;1;0;0;0;0;0;
2004 22 3;146;35042230275;3;1;1;0;0;1;
2004 22 3;147;35042230277;3;1;1;0;0;1;
2004 22 3;148;35042240105;1;0;0;0;0;0;
2004 22 3;149;35042230254;3;1;1;0;0;1;
2004 22 3;150;35042230293;3;1;1;0;0;1;
2004 22 3;151;35042240100;1;0;0;0;0;0;
2004 22 3;152;35042230239;3;1;1;0;0;1;
2004 22 3;153;35042230296;3;1;1;0;0;1;
2004 22 3;154;35042240195;1;0;0;1;0;0;
2004 22 3;155;35042230307;3;1;1;0;0;1;
2004 22 3;156;35042230278;3;1;1;0;0;1;
2004 22 3;157;35042240099;1;0;0;0;0;0;
2004 22 3;158;35042230368;3;1;1;0;0;1;
2004 22 3;159;35042230364;3;1;1;0;0;1;
2004 22 3;160;35042230466;1;0;0;0;0;0;
2004 22 3;161;35042230353;3;1;1;0;0;1;
2004 22 3;162;35042220236;1;0;1;0;0;0;
2004 22 3;163;35042220272;1;1;1;0;0;1;
2004 22 3;164;35042230476;1;0;0;0;0;0;
2004 22 3;165;35042220073;1;1;1;0;0;1;
2004 22 3;166;35042220106;1;0;1;0;0;0;
2004 22 3;167;35042240147;1;1;0;1;0;0;
2004 22 3;168;35042220172;1;0;1;0;0;0;
2004 22 3;169;35042230273;3;1;1;0;0;1;
2004 22 3;170;35042230480;1;0;0;0;0;0;
2004 22 3;171;35042230330;3;1;1;0;0;1;
2004 22 3;172;35042230328;3;1;1;0;0;1;
2004 22 3;173;35042230472;1;0;0;0;0;0;
2004 22 3;174;35042230313;3;1;1;0;0;1;
2004 22 3;175;35042230289;3;1;1;0;0;1;
2004 22 3;176;35042230477;1;0;0;0;0;0;
2004 22 3;177;35042230360;3;1;1;0;0;1;
2004 22 3;178;35042230274;3;1;1;0;0;1;
2004 22 3;179;35042230461;1;0;0;0;0;0;
2004 22 3;180;35042230315;3;1;1;0;0;1;
2004 22 3;181;35042230361;3;1;1;0;0;1;
2004 22 3;182;35042310006;3;0;0;1;0;0;
2004 22 3;183;35042230246;3;1;1;0;0;1;
2004 22 3;184;35042230250;3;1;1;0;0;1;
2004 22 3;185;35042230468;1;0;0;0;0;0;
2004 22 3;186;35042230346;3;1;1;0;0;1;
2004 22 3;187;35042230399;1;0;1;0;0;0;
2004 22 3;188;35042230339;3;1;1;0;0;1;
2004 22 3;189;35042205193;6;0;0;1;1;0;
2004 22 3;190;35042230303;3;1;1;0;0;1;
2004 22 3;191;35042230334;3;1;1;0;0;1;
2004 22 3;192;35042220075;5;0;1;0;0;0;
2004 22 3;193;35042230320;3;1;1;0;0;1;
2004 22 3;194;35042220081;5;0;1;0;0;0;
2004 22 3;195;35042230322;3;1;1;0;0;1;
2004 22 3;196;35042220082;5;0;1;0;0;0;
2004 22 3;197;35042230306;3;1;1;0;0;1;
2004 22 3;198;35042220089;5;0;1;0;0;0;
2004 22 3;199;35042230314;3;1;1;0;0;1;
2004 22 3;200;35042220072;5;0;1;0;0;0;
2004 22 3;201;35042230269;3;1;1;0;0;1;
2004 22 3;202;35042205196;6;0;0;1;1;0;
2004 22 3;203;35042230343;3;1;1;0;0;1;
2004 22 3;204;35042230292;3;1;1;0;0;1;
2004 22 3;205;35042230470;1;0;0;0;0;0;
2004 22 3;206;35042230356;3;1;1;0;0;1;
2004 22 3;207;35042230311;3;1;1;0;0;1;
2004 22 3;208;35042205195;6;0;0;1;1;0;
2004 22 3;209;35042230323;3;1;1;0;0;1;
2004 22 3;210;35042230332;3;1;1;0;0;1;
2004 22 3;211;35042230469;1;0;0;0;0;0;
2004 22 3;212;35042230268;3;1;1;0;0;1;
2004 22 3;213;35042230333;3;1;1;0;0;1;
2004 22 3;214;35042230478;1;0;0;0;0;0;
2004 22 3;215;35042230352;3;1;1;0;0;1;
2004 22 3;216;35042230302;3;1;1;0;0;1;
2004 22 3;217;35042230456;1;0;0;0;0;0;
2004 22 3;218;35042230358;3;1;1;0;0;1;
2004 22 3;219;35042230365;7;0;1;0;0;0;
2004 22 3;220;35042230247;3;1;1;0;0;1;
2004 22 3;221;35042205192;6;0;0;1;1;0;
2004 22 3;222;35042230287;3;1;1;0;0;1;
2004 22 3;223;35042230240;7;0;1;0;0;0;
2004 22 3;224;35042230329;3;1;1;0;0;1;
2004 22 3;225;35042230366;7;0;1;0;0;0;
2004 22 3;226;35042230264;7;1;1;0;0;1;
2004 22 3;227;35042230263;7;0;1;0;0;0;
2004 22 3;228;35042230367;3;1;1;0;0;1;
2004 22 3;229;35042205199;6;0;0;1;1;0;
2004 22 3;230;35042230305;3;1;1;0;0;1;
2004 22 3;231;35042230363;3;1;1;0;0;1;
2004 22 3;232;35042230351;3;1;1;0;0;1;
2004 22 3;233;35042230229;3;1;1;0;0;1;
2004 22 3;234;35042230226;3;1;1;0;0;1;
2004 22 3;235;35042220250;5;0;1;0;0;0;
2004 22 3;236;35042220078;5;1;1;0;0;1;
2004 22 3;237;35042220248;5;0;1;0;0;0;
2004 22 3;238;35042230227;3;1;1;0;0;1;
2004 22 3;239;35042610002;5;0;0;1;0;0;
2004 22 3;240;35042230223;3;1;1;0;0;1;
2004 22 3;241;35042220242;5;0;1;0;0;0;
2004 22 3;242;35042230228;3;1;1;0;0;1;
2004 22 3;243;35042220240;5;0;1;0;0;0;
2004 22 3;244;35042230224;3;1;1;0;0;1;
2004 22 3;245;35042220221;5;0;1;0;0;0;
2004 22 3;246;35042230222;3;1;1;0;0;1;
2004 22 3;247;35042230230;3;1;1;0;0;1;
2004 22 3;248;35042230225;3;1;1;0;0;1;
2004 22 3;249;35042230231;3;1;1;0;0;1;
2004 22 3;250;35042140169;5;0;1;0;0;0;
2004 22 3;251;35042230234;3;1;1;0;0;1;
2004 22 3;252;35042205191;6;0;0;1;1;0;
2004 22 3;253;35042150120;3;1;1;0;0;1;
2004 22 3;254;35042230209;3;1;1;0;0;1;
2004 22 3;255;35042230206;3;1;1;0;0;1;
2004 22 3;256;35042230159;3;0;1;1;0;0;
2004 22 3;257;35042230207;3;1;1;0;0;1;
2004 22 3;258;35042230261;7;0;1;0;0;0;
2004 22 3;259;35042230208;3;1;1;0;0;1;
2004 22 3;260;35042230244;7;0;1;0;0;0;
2004 22 3;261;35042230204;3;1;1;0;0;1;
2004 22 3;262;35042050040;7;0;1;0;0;0;
2004 22 3;263;35042230210;3;1;1;0;0;1;
2004 22 3;264;35042230235;7;0;1;0;0;0;
2004 22 3;265;35042230203;3;1;1;0;0;1;
2004 22 3;266;35042230213;3;1;1;0;0;1;
2004 22 3;267;35042230148;7;0;1;0;0;0;
2004 22 3;268;35042230211;7;1;1;0;0;1;
2004 22 3;269;35042230441;7;0;1;1;0;0;
