Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;HPRC7;HPRC8;HPRC9;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;LPRC11;
2004 22 2;5;28042130234;13;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;
2004 22 2;6;28042130255;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;7;28042540649;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;8;28042130270;13;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;9;28042120038;13;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;
2004 22 2;10;28042020031;13;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;11;28042130010;13;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 2;12;28042030364;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;13;28042120032;13;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;14;28042130279;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;
2004 22 2;15;28042130155;13;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;
2004 22 2;16;28042130266;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;
2004 22 2;17;28042060034;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;18;28042030251;13;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;19;28042130210;13;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;
2004 22 2;20;28042130301;13;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;21;28042110276;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;22;28042030028;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;23;28042030221;13;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;24;28042210166;13;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;
2004 22 2;25;28042210238;13;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 2;26;28042130352;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;
2004 22 2;27;28042030024;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;28;28042030261;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;29;28041650303;13;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 2;30;28042130303;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;31;28042210002;13;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;
2004 22 2;32;28042210354;13;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 2;33;28042020006;6;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;
2004 22 2;34;28042110012;6;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;
2004 22 2;35;28042430036;13;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;36;28042030361;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;37;28042130360;13;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 2;38;28042030064;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;39;28042130173;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 2;40;28042030275;13;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;
2004 22 2;41;28042020029;13;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;42;28041710337;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;43;28042120028;13;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 22 2;44;28042040563;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;45;28041810189;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;46;28042210296;13;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;47;28042030033;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;48;28042210187;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 22 2;49;28042210245;13;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;
2004 22 2;50;28042030256;3;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;51;28042130250;13;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;52;28042030093;13;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;
2004 22 2;53;28042030201;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 2;54;28042130026;13;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;55;28042130313;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;56;28042130308;13;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;
2004 22 2;57;28041940330;13;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 2;58;28042030171;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;
2004 22 2;59;28042130230;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 2;60;28042130353;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;61;28042130251;13;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;62;28042130275;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;63;28042030276;13;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 2;64;28042030097;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;65;28042130151;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;
2004 22 2;66;28042030022;8;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;
2004 22 2;67;28042130263;13;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 2;68;28042030360;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;69;28042130240;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;70;28042430037;13;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;71;28042030066;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;72;28042130265;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;
2004 22 2;73;28042030113;13;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;74;28042130311;13;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;
2004 22 2;75;28042130137;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;
2004 22 2;76;28042030278;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;77;28041720351;13;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 2;78;28042030030;13;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;
2004 22 2;79;28042210361;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;
2004 22 2;80;28042110273;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;81;28042030131;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;
2004 22 2;82;28042130122;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;83;28042110040;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 2;84;28042130232;13;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;85;28042030224;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;86;28042210257;13;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;87;28042130280;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;
2004 22 2;88;28042120042;13;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;
2004 22 2;89;28042130372;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;90;28042030258;13;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;91;28042210172;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;92;28042030032;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;93;28042130371;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 2;94;28042030158;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;95;28042020027;13;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;96;28042030099;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 22 2;97;28042030117;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;98;28042030106;13;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;99;28042120134;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2004 22 2;100;28042120133;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2004 22 2;101;28042050229;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;102;28042050228;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;103;28042050232;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;104;28042040659;2;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;
2004 22 2;105;28042050230;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;106;28042050231;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;107;28042130036;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2004 22 2;108;28042130037;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2004 22 2;109;28042040564;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;110;28042130310;13;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;
2004 22 2;111;28042030098;13;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;
2004 22 2;112;28042020015;13;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;
2004 22 2;113;28042210347;13;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;
2004 22 2;114;28042030059;13;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;115;28042030134;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;116;28042130373;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;117;28042210242;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;
2004 22 2;118;28042130273;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;
2004 22 2;119;28042210261;13;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;120;28042130208;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;121;28042130300;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;122;28042130027;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;123;28042030252;13;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;124;28042110025;11;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;
2004 22 2;125;28042210155;13;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;
2004 22 2;126;28042120041;13;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;
2004 22 2;127;28042130009;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;
2004 22 2;128;28042130239;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;129;28042130376;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 22 2;130;28042210269;13;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;131;28042040565;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;132;28042030058;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;133;28042210240;13;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 2;134;28042050133;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;
2004 22 2;135;28042130113;13;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;136;28042130028;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;137;28042120070;13;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;
2004 22 2;138;28042060048;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;139;28042130268;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;
2004 22 2;140;28042110021;9;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;
2004 22 2;141;28042110023;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 2;142;28042110007;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;143;28042110010;9;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;
2004 22 2;144;28042110013;9;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;
2004 22 2;145;28042110008;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;146;28042110024;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;
2004 22 2;147;28042110022;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 2;148;28042040560;13;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;149;28042040422;13;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;150;28042030244;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 22 2;151;28042130034;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;152;28042210161;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;
2004 22 2;153;28042060049;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;154;28042130030;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;155;28042130252;13;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;156;28042210280;13;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;
2004 22 2;157;28042130287;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;158;28042130282;13;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;
2004 22 2;159;28042210310;13;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;
2004 22 2;160;28042210264;13;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;161;28042130228;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;162;28042040562;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;163;28042020007;10;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;164;28042020005;10;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;165;28042210304;13;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;
2004 22 2;166;28042210179;13;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;
2004 22 2;167;28042130286;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;168;28042130154;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;
2004 22 2;169;28042210308;13;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;
2004 22 2;170;28042130167;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;171;28042030107;13;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;172;28042120052;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;173;28042130032;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;174;28042130306;13;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;
2004 22 2;175;28042130337;13;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;176;28042210254;13;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;177;28042120050;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;178;28042210200;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 22 2;179;28042210235;13;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;
2004 22 2;180;28042130307;12;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;181;28042030176;12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;182;28042030111;12;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;
2004 22 2;183;28042210351;13;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 2;184;28042120051;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;185;28042130293;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;186;28042030092;13;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;187;28042210181;13;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;
2004 22 2;188;28042130267;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;
2004 22 2;189;28042030200;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 2;190;28042060008;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;191;28042030147;13;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 2;192;28042210168;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;193;28042030188;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;194;28042210199;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;195;28042130011;13;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 2;196;28042120055;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;197;28042110033;13;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;
2004 22 2;198;28042130078;4;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 2;199;28042130302;13;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;
2004 22 2;200;28042210270;13;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;201;28042120047;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;202;28042130149;13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;203;28042130283;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;
2004 22 2;204;28042130269;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;
2004 22 2;205;28042120049;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;206;28042130370;13;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
2004 22 2;207;28042130098;13;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;208;28042210175;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;209;28042030082;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;210;28042210225;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;211;28042120040;13;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;
2004 22 2;212;28042030048;13;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;213;28042030031;13;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;
2004 22 2;214;28042130260;16;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;215;28042210178;16;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;
2004 22 2;216;28042030039;16;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;217;28042030290;16;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 22 2;218;28042030208;16;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;
2004 22 2;219;28042130356;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;
2004 22 2;220;28042120048;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
