Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;
2004 22 1;88;22042210371;1;1;0;0;0;0;0;0;1;0;
2004 22 1;89;22042220816;1;0;0;0;0;0;0;0;0;0;
2004 22 1;90;22042210023;1;1;0;0;0;0;0;0;0;0;
2004 22 1;91;22042210018;1;1;0;0;0;0;0;0;0;0;
2004 22 1;92;22042210024;1;1;0;0;0;0;0;0;0;0;
2004 22 1;93;22042210412;1;1;0;0;0;0;0;0;1;0;
2004 22 1;94;22042220665;1;0;0;0;0;0;0;0;0;1;
2004 22 1;95;22042210031;1;1;0;0;0;0;0;0;0;0;
2004 22 1;96;22042220831;1;1;0;0;0;0;0;0;0;0;
2004 22 1;97;22042210438;1;1;0;0;0;0;0;0;1;1;
2004 22 1;98;22042220471;1;1;0;0;0;0;0;0;0;0;
2004 22 1;99;22042220808;1;0;0;0;0;0;0;0;0;0;
2004 22 1;100;22042220521;1;1;0;0;0;0;0;0;0;0;
2004 22 1;101;22042250002;1;1;0;0;0;0;0;0;1;0;
2004 22 1;102;22042210585;1;1;0;0;0;0;1;0;0;0;
2004 22 1;103;22042220792;1;1;0;0;0;0;0;0;0;0;
2004 22 1;104;22042220653;1;1;0;0;0;0;0;0;0;0;
2004 22 1;105;22042220712;1;0;0;0;0;0;0;0;0;0;
2004 22 1;106;22042250004;1;1;0;0;0;0;0;0;1;0;
2004 22 1;107;22042220612;1;1;0;0;0;0;0;0;0;0;
2004 22 1;108;22042220534;1;1;0;0;0;0;0;0;0;0;
2004 22 1;109;22042250077;1;1;0;0;0;0;0;0;0;1;
2004 22 1;110;22042250008;1;1;0;0;0;0;0;0;1;0;
2004 22 1;111;22042220744;1;0;0;0;0;0;0;0;0;0;
2004 22 1;112;22042210034;1;1;0;0;0;0;0;0;0;0;
2004 22 1;113;22042210016;1;1;0;0;0;0;0;0;0;0;
2004 22 1;114;22042250005;1;1;0;0;0;0;0;0;1;0;
2004 22 1;115;22042220844;1;1;0;0;0;0;0;0;0;0;
2004 22 1;116;22042220812;1;0;0;0;0;0;0;0;0;0;
2004 22 1;117;22042220603;1;1;0;0;0;0;0;0;0;0;
2004 22 1;118;22042120258;1;1;1;0;0;0;0;0;1;0;
2004 22 1;119;22042220566;1;1;0;0;0;0;0;0;0;0;
2004 22 1;120;22042210505;2;0;0;0;0;0;0;0;0;0;
2004 22 1;121;22042210581;2;1;0;0;0;0;0;0;0;0;
2004 22 1;122;22042210325;2;1;0;0;0;0;0;0;1;0;
2004 22 1;123;22042210538;2;1;0;0;0;0;0;0;0;0;
2004 22 1;124;22042210506;2;0;0;0;0;0;0;0;0;0;
2004 22 1;125;22042210566;2;0;0;0;0;0;0;0;0;0;
2004 22 1;126;22042210324;2;1;0;0;0;0;0;0;1;0;
2004 22 1;127;22042210572;2;0;0;0;0;0;0;0;0;0;
2004 22 1;128;22042210525;2;0;0;0;0;0;0;0;0;1;
2004 22 1;129;22042210326;2;1;0;0;0;0;0;0;1;0;
2004 22 1;130;22042210552;2;0;0;0;0;0;0;0;0;0;
2004 22 1;131;22042210520;2;0;0;0;0;0;0;0;0;0;
2004 22 1;132;22042210501;2;0;0;0;0;0;0;0;0;0;
2004 22 1;133;22042210375;2;1;0;0;0;0;0;0;1;0;
2004 22 1;134;22042210540;2;1;0;0;0;0;0;0;0;1;
2004 22 1;135;22042210567;2;0;0;0;0;0;0;0;0;0;
2004 22 1;136;22042210091;2;1;0;0;0;0;0;0;0;0;
2004 22 1;137;22042210081;2;1;0;0;0;0;0;0;1;0;
2004 22 1;138;22042210519;2;0;0;0;0;0;0;0;0;0;
2004 22 1;139;22042210532;2;0;0;1;0;0;0;0;0;0;
2004 22 1;140;22042120242;2;1;1;0;0;0;0;0;1;0;
2004 22 1;141;22042210516;2;0;0;0;0;0;0;0;0;0;
2004 22 1;142;22042210584;2;1;0;0;0;0;0;1;0;0;
2004 22 1;143;22042210502;2;0;0;0;0;0;0;0;0;0;
2004 22 1;144;22042210080;2;1;0;0;0;0;0;0;1;0;
2004 22 1;145;22042210539;2;0;1;0;0;0;0;0;0;0;
2004 22 1;146;22042220817;2;1;0;0;0;0;0;0;0;0;
2004 22 1;147;22042210550;2;0;0;0;0;0;0;0;0;0;
2004 22 1;148;22042210378;2;1;0;0;0;0;0;0;1;0;
2004 22 1;149;22042210492;2;0;0;0;0;0;0;0;0;0;
2004 22 1;150;22042220467;2;0;0;0;0;0;1;0;0;1;
2004 22 1;151;22042130090;2;1;0;0;1;0;0;0;1;0;
2004 22 1;152;22042210531;2;0;0;1;0;0;0;0;0;0;
2004 22 1;153;22042210530;2;0;0;1;0;0;0;0;0;0;
2004 22 1;154;22042210256;2;0;0;0;0;0;0;0;0;0;
2004 22 1;155;22042210373;2;1;0;0;0;0;0;0;1;0;
2004 22 1;156;22042220818;2;1;0;0;0;0;0;0;0;1;
2004 22 1;157;22042210245;2;0;0;0;0;0;0;0;0;0;
2004 22 1;158;22042120241;2;1;1;0;0;0;0;0;1;0;
2004 22 1;159;22042210529;2;0;0;1;0;0;0;0;0;0;
2004 22 1;160;22042210397;2;0;0;0;0;0;0;0;0;1;
2004 22 1;161;22042210376;2;1;0;0;0;0;0;0;1;0;
2004 22 1;162;22042220484;2;0;0;0;0;0;0;0;0;0;
2004 22 1;163;22042210435;2;1;0;0;0;0;0;0;1;0;
2004 22 1;164;22042210562;2;0;0;0;0;1;0;0;0;1;
2004 22 1;165;22042220427;2;0;0;0;0;0;0;0;0;0;
2004 22 1;166;22042210527;2;0;0;0;0;0;0;0;0;0;
2004 22 1;167;22042210416;2;1;0;0;0;0;0;0;1;0;
2004 22 1;168;22042210489;2;0;0;0;0;0;0;0;0;0;
2004 22 1;169;22042220676;2;1;0;0;0;0;0;0;0;1;
2004 22 1;170;22042210380;2;1;0;0;0;0;0;0;1;0;
2004 22 1;171;22042210486;2;0;0;0;0;0;0;0;0;0;
2004 22 1;172;22042120245;2;1;1;0;0;0;0;0;1;0;
2004 22 1;173;22042220601;2;1;0;0;0;0;0;0;0;0;
2004 22 1;174;22042220531;2;1;0;0;0;0;0;0;0;0;
2004 22 1;175;22042210372;2;1;0;0;0;0;0;0;1;0;
2004 22 1;176;22042220568;2;1;0;0;0;0;0;0;0;0;
2004 22 1;177;22042220718;2;0;0;0;0;0;0;0;0;0;
2004 22 1;178;22042220441;2;1;0;0;0;0;0;0;0;0;
2004 22 1;179;22042120244;2;1;1;0;0;0;0;0;1;0;
2004 22 1;180;22042220623;2;1;0;0;0;0;0;0;0;0;
2004 22 1;181;22042220473;2;0;0;0;0;0;0;0;0;0;
2004 22 1;182;22042220006;2;0;0;0;0;0;0;0;0;1;
2004 22 1;183;22042210327;3;1;0;0;0;0;0;0;1;0;
2004 22 1;184;22042210088;3;1;0;0;0;0;0;0;1;0;
2004 22 1;185;22042210382;3;1;0;0;0;0;0;0;1;0;
2004 22 1;186;22042210563;3;0;0;0;0;0;0;0;0;0;
2004 22 1;187;22042210087;3;1;0;0;0;0;0;0;1;0;
2004 22 1;188;22042220440;3;1;0;0;0;0;0;0;0;0;
2004 22 1;189;22042210384;3;1;0;0;0;0;0;0;1;0;
2004 22 1;190;22042210383;3;1;0;0;0;0;0;0;1;0;
2004 22 1;191;22042210565;3;0;0;0;0;0;0;0;0;0;
2004 22 1;192;22042210388;3;1;0;0;0;0;0;0;1;0;
2004 22 1;193;22042210089;3;1;0;0;0;0;0;0;1;0;
2004 22 1;194;22042210498;3;0;0;0;0;0;0;0;0;0;
2004 22 1;195;22042210008;3;1;0;0;0;0;0;0;1;0;
2004 22 1;196;22042210391;3;1;0;0;0;0;0;0;1;0;
2004 22 1;197;22042220008;3;1;0;0;0;0;0;0;0;1;
2004 22 1;198;22042210387;3;1;0;0;0;0;0;0;1;0;
2004 22 1;199;22042210385;3;1;0;0;0;0;0;0;1;0;
2004 22 1;200;22042210513;4;0;0;1;0;0;0;0;0;0;
2004 22 1;201;22042210514;4;0;0;1;0;0;0;0;0;0;
2004 22 1;202;22042210592;4;0;0;0;0;0;0;0;0;0;
2004 22 1;203;22042210244;4;0;0;0;0;0;0;0;0;0;
2004 22 1;204;22042210248;4;0;0;1;0;0;0;0;0;0;
2004 22 1;205;22042210348;4;0;0;0;0;0;0;0;0;0;
2004 22 1;206;22042210603;4;1;0;0;0;0;0;0;0;0;
2004 22 1;207;22042210593;4;1;0;0;0;0;0;0;0;0;
2004 22 1;208;22042210249;4;0;0;1;0;0;0;0;0;0;
2004 22 1;209;22042210342;4;0;0;0;0;0;0;0;0;0;
2004 22 1;210;22042220488;4;1;0;0;0;0;0;0;0;0;
2004 22 1;211;22042210005;4;0;0;1;0;0;0;0;0;0;
2004 22 1;212;22042210488;4;1;0;0;0;0;0;0;0;0;
2004 22 1;213;22042130003;4;1;1;0;0;0;0;0;1;0;
2004 22 1;214;22042210056;4;1;0;0;0;0;0;0;0;0;
2004 22 1;215;22042210004;4;0;0;1;0;0;0;0;0;0;
2004 22 1;216;22042210354;4;0;0;1;0;0;0;0;0;0;
2004 22 1;217;22042210090;4;1;0;0;0;0;0;0;0;0;
2004 22 1;218;22041940354;4;0;0;1;0;0;0;0;0;0;
2004 22 1;219;22042210351;4;0;0;1;0;0;0;0;0;0;
2004 22 1;220;22042220652;4;0;0;0;0;0;0;0;0;0;
2004 22 1;221;22042210247;4;0;0;1;0;0;0;0;0;0;
2004 22 1;222;22042210343;4;1;0;0;0;0;0;0;0;0;
2004 22 1;223;22042210353;4;0;0;1;0;0;0;0;0;0;
2004 22 1;224;22042210040;4;0;1;1;0;0;0;0;0;0;
2004 22 1;225;22042210300;4;0;0;1;0;0;0;0;0;0;
2004 22 1;226;22042210235;4;1;0;0;0;0;0;0;0;0;
2004 22 1;227;22042220554;4;1;0;0;0;0;0;0;0;0;
2004 22 1;228;22042220001;4;1;0;0;0;0;0;0;0;0;
2004 22 1;229;22042210352;4;0;0;1;0;0;0;0;0;0;
2004 22 1;230;22042230025;4;0;0;1;0;0;0;0;0;0;
2004 22 1;231;22042220486;4;1;0;0;0;0;0;0;0;0;
2004 22 1;232;22042220584;4;0;0;0;0;0;0;0;0;0;
2004 22 1;233;22042220549;4;1;0;0;0;0;0;0;0;0;
2004 22 1;234;22042220426;4;0;0;0;0;0;0;0;0;0;
2004 22 1;235;22042230024;4;0;0;1;0;0;0;0;0;0;
2004 22 1;236;22042220439;4;0;0;1;0;0;0;0;0;0;
2004 22 1;237;22042220398;4;0;0;0;0;0;0;0;0;0;
2004 22 1;238;22042220490;4;1;0;0;0;0;0;0;0;0;
2004 22 1;239;22042220416;4;0;0;1;0;0;0;0;0;0;
2004 22 1;240;22042220487;4;1;0;0;0;0;0;0;0;0;
2004 22 1;241;22042150300;4;0;0;0;0;0;0;0;0;0;
2004 22 1;242;22042220489;4;1;0;0;0;0;0;0;0;0;
2004 22 1;243;22042220504;4;1;0;0;0;0;0;0;0;0;
2004 22 1;244;22042220483;4;0;0;1;0;0;0;0;0;0;
2004 22 1;245;22042220532;4;0;0;1;0;0;0;0;0;0;
2004 22 1;246;22042210599;5;1;0;0;0;0;0;0;0;0;
2004 22 1;247;22042210274;5;1;0;0;0;0;0;0;0;0;
2004 22 1;248;22042210259;5;1;0;0;0;0;0;0;0;0;
2004 22 1;249;22042210263;5;1;0;0;0;0;0;0;0;0;
2004 22 1;250;22042210265;5;1;0;0;0;0;0;0;0;0;
2004 22 1;251;22042210560;5;0;0;0;0;0;0;0;0;0;
2004 22 1;252;22042210260;5;1;0;0;0;0;0;0;0;0;
2004 22 1;253;22042210266;5;1;0;0;0;0;0;0;0;0;
2004 22 1;254;22042210286;5;1;0;0;0;0;0;0;0;0;
2004 22 1;255;22042210261;5;1;0;0;0;0;0;0;0;0;
2004 22 1;256;22042210258;5;1;0;0;0;0;0;0;0;0;
2004 22 1;257;22042210548;5;0;0;0;0;0;0;0;0;0;
2004 22 1;258;22042210292;5;1;0;0;0;0;0;0;0;0;
2004 22 1;259;22042210289;5;1;0;0;0;0;0;0;0;0;
2004 22 1;260;22042210331;5;1;0;0;0;0;0;0;1;0;
2004 22 1;261;22042210271;5;1;0;0;0;0;0;0;0;0;
2004 22 1;262;22042210277;5;1;0;0;0;0;0;0;0;0;
2004 22 1;263;22042210279;5;1;0;0;0;0;0;0;0;0;
2004 22 1;264;22042210269;5;1;0;0;0;0;0;0;0;0;
2004 22 1;265;22042210287;5;1;0;0;0;0;0;0;0;0;
2004 22 1;266;22042210232;5;0;0;0;0;0;0;0;0;0;
2004 22 1;267;22042210275;5;1;0;0;0;0;0;0;0;0;
2004 22 1;268;22042210280;5;1;0;0;0;0;0;0;0;0;
2004 22 1;269;22042210577;5;1;0;0;1;0;0;0;0;1;
2004 22 1;270;22042210282;5;1;0;0;0;0;0;0;0;0;
2004 22 1;271;22042210082;5;1;0;0;0;0;0;0;1;0;
2004 22 1;272;22042210268;5;1;0;0;0;0;0;0;0;0;
2004 22 1;273;22042210055;5;0;0;1;0;0;0;0;0;0;
2004 22 1;274;22042210288;5;1;0;0;0;0;0;0;0;0;
2004 22 1;275;22042210011;5;1;0;0;0;0;0;0;0;0;
2004 22 1;276;22042210272;5;1;0;0;0;0;0;0;0;0;
2004 22 1;277;22042210264;5;1;0;0;0;0;0;0;0;0;
2004 22 1;278;22042220815;5;1;0;0;0;0;0;0;0;1;
2004 22 1;279;22042210358;5;0;0;1;0;0;0;0;0;0;
2004 22 1;280;22042210285;5;1;0;0;0;0;0;0;0;0;
2004 22 1;281;22042210093;5;1;0;0;0;0;0;0;0;0;
2004 22 1;282;22042210276;5;1;0;0;0;0;0;0;0;0;
2004 22 1;283;22042210290;5;1;0;0;0;0;0;0;0;0;
2004 22 1;284;22042210284;5;1;0;0;0;0;0;0;0;0;
2004 22 1;285;22042210551;5;1;0;0;1;0;0;0;0;1;
2004 22 1;286;22042210283;5;1;0;0;0;0;0;0;0;0;
2004 22 1;287;22042220446;5;0;0;0;0;0;0;0;0;0;
2004 22 1;288;22042210281;5;1;0;0;0;0;0;0;0;0;
2004 22 1;289;22042210291;5;1;0;0;0;0;0;0;0;0;
2004 22 1;290;22042220829;5;1;0;0;0;0;0;0;0;0;
2004 22 1;291;22042220499;5;1;0;0;0;0;0;0;0;0;
2004 22 1;292;22042220496;5;1;0;0;0;0;0;0;0;0;
2004 22 1;293;22042210278;5;0;0;0;0;0;0;0;0;0;
2004 22 1;294;22042220498;5;1;0;0;0;0;0;0;0;0;
2004 22 1;295;22042220558;5;1;0;0;0;0;0;0;0;0;
2004 22 1;296;22042220598;5;1;0;0;0;0;0;0;0;0;
2004 22 1;297;22042210359;5;1;0;0;0;0;0;0;0;0;
2004 22 1;298;22042210051;5;1;0;0;0;0;0;0;1;0;
2004 22 1;299;22042220659;5;1;0;0;0;0;0;0;0;0;
2004 22 1;300;22042220824;5;0;0;0;0;0;0;0;0;0;
2004 22 1;301;22042220529;5;1;0;0;0;0;0;0;0;0;
2004 22 1;302;22042210077;5;1;0;0;0;0;0;0;1;0;
2004 22 1;303;22042220437;5;1;0;0;0;0;0;0;0;0;
2004 22 1;304;22042220500;5;1;0;0;0;0;0;0;0;0;
2004 22 1;305;22042220613;5;1;0;0;0;0;0;0;0;1;
2004 22 1;306;22042220497;5;1;0;0;0;0;0;0;0;0;
2004 22 1;307;22042210052;5;1;0;0;0;0;0;0;1;0;
2004 22 1;308;22042210597;6;0;0;0;0;0;0;0;0;0;
2004 22 1;309;22042210602;6;1;0;0;0;0;0;0;0;0;
2004 22 1;310;22042210503;6;0;0;0;0;0;0;0;0;0;
2004 22 1;311;22042210601;6;1;0;0;0;0;0;0;0;0;
2004 22 1;312;22042210595;6;1;0;0;0;0;0;0;0;0;
2004 22 1;313;22042210594;6;1;0;0;0;0;0;0;0;0;
2004 22 1;314;22042210555;6;1;0;0;0;0;0;0;0;0;
2004 22 1;315;22042210493;6;0;0;0;0;0;0;0;0;0;
2004 22 1;316;22042210496;6;0;0;0;0;0;0;0;0;0;
2004 22 1;317;22042210494;6;0;0;0;0;0;0;0;0;0;
2004 22 1;318;22042210537;6;1;0;0;0;0;0;0;0;0;
2004 22 1;319;22042120033;6;1;0;0;0;0;0;0;1;0;
2004 22 1;320;22042210533;6;1;0;0;0;0;0;0;0;0;
2004 22 1;321;22042210230;6;0;0;0;0;0;0;0;0;0;
2004 22 1;322;22042210251;6;1;0;0;0;0;0;0;0;0;
2004 22 1;323;22042210041;6;1;0;0;0;0;0;0;0;0;
2004 22 1;324;22042210332;6;0;0;0;0;0;0;0;0;0;
2004 22 1;325;22042210350;6;1;0;0;0;0;0;0;0;0;
2004 22 1;326;22042210254;6;1;0;0;0;0;0;0;0;0;
2004 22 1;327;22042210262;6;0;0;0;0;0;0;0;0;0;
2004 22 1;328;22042210270;6;1;0;0;0;0;0;0;0;0;
2004 22 1;329;22042210303;6;1;0;0;0;0;0;0;0;0;
2004 22 1;330;22042210314;6;1;0;0;0;0;0;0;0;0;
2004 22 1;331;22042210357;6;1;0;0;0;0;0;0;0;0;
2004 22 1;332;22042210338;6;0;0;0;0;0;0;0;0;0;
2004 22 1;333;22042210335;6;0;0;0;0;0;0;0;0;0;
2004 22 1;334;22042210074;6;1;0;0;0;0;0;0;0;0;
2004 22 1;335;22042210071;6;1;0;0;0;0;0;0;0;0;
2004 22 1;336;22042210227;6;1;0;0;0;0;0;0;0;0;
2004 22 1;337;22042220459;6;1;0;0;0;0;0;0;0;0;
2004 22 1;338;22042220492;6;1;0;0;0;0;0;0;0;0;
2004 22 1;339;22042210229;6;0;0;0;0;0;0;0;0;0;
2004 22 1;340;22042220454;6;1;0;0;0;0;0;0;0;0;
2004 22 1;341;22042220414;6;1;0;0;0;0;0;0;0;0;
2004 22 1;342;22042210226;6;0;0;0;0;0;0;0;0;0;
2004 22 1;343;22042210299;6;0;0;0;0;0;0;0;0;0;
2004 22 1;344;22042210073;6;0;0;0;0;0;0;0;0;0;
2004 22 1;345;22042220494;6;1;0;0;0;0;0;0;0;0;
2004 22 1;346;22042210012;6;0;0;0;0;0;1;0;0;0;
2004 22 1;347;22042220599;6;1;0;0;0;0;0;0;0;0;
2004 22 1;348;22042210297;6;0;0;0;0;0;0;0;0;0;
2004 22 1;349;22042220634;6;1;0;0;0;0;0;0;0;0;
2004 22 1;350;22042220770;6;1;0;0;0;0;0;0;0;0;
2004 22 1;351;22042210526;6;0;0;0;0;0;0;0;0;0;
2004 22 1;352;22042220552;6;1;0;0;0;0;0;0;0;0;
2004 22 1;353;22042220495;6;1;0;0;0;0;0;0;0;0;
2004 22 1;354;22042220491;6;1;0;0;0;0;0;0;0;0;
2004 22 1;355;22042220493;6;1;0;0;0;0;0;0;0;0;
2004 22 1;356;22042210487;6;0;0;0;0;0;0;0;0;0;
2004 22 1;357;22042220410;6;0;0;0;0;0;0;0;0;0;
2004 22 1;358;22042210329;7;1;0;0;0;0;0;0;1;0;
2004 22 1;359;22042140002;7;1;0;0;0;0;0;0;1;0;
2004 22 1;360;22042140003;7;1;0;0;0;0;0;0;1;0;
2004 22 1;361;22042210295;7;1;0;0;0;0;0;0;0;0;
2004 22 1;362;22042140001;7;1;0;0;0;0;0;0;1;0;
2004 22 1;363;22042210010;7;1;0;0;0;0;0;0;1;0;
2004 22 1;364;22042130092;7;1;0;0;1;0;0;0;1;0;
2004 22 1;365;22042210554;7;0;0;0;0;0;0;0;0;0;
2004 22 1;366;22042210092;7;1;0;0;0;0;0;0;0;0;
2004 22 1;367;22042210239;7;1;0;0;0;0;0;0;1;0;
2004 22 1;368;22042210009;7;1;0;0;0;0;0;0;1;0;
2004 22 1;369;22042210225;7;1;0;0;0;0;0;0;0;0;
2004 22 1;370;22042220565;7;1;0;0;0;0;0;0;0;0;
2004 22 1;371;22042210394;7;1;0;0;0;0;0;0;1;0;
2004 22 1;372;22042210429;7;1;0;0;0;0;0;0;1;0;
2004 22 1;373;22042220794;7;1;0;0;0;0;0;0;0;0;
2004 22 1;374;22042210575;7;0;0;0;0;0;0;0;0;0;
2004 22 1;375;22042210431;7;1;0;0;0;0;0;0;1;0;
2004 22 1;376;22042210392;7;1;0;0;0;0;0;0;1;0;
2004 22 1;377;22042220803;7;1;0;0;0;0;0;0;0;0;
2004 22 1;378;22042210430;7;1;0;0;0;0;0;0;1;0;
2004 22 1;379;22042210454;7;1;0;0;0;0;0;0;1;0;
2004 22 1;380;22042310181;7;1;0;0;0;0;0;0;1;0;
2004 22 1;381;22042210574;7;0;0;0;0;0;0;0;0;0;
