Date;SeqRank;Ident;Paint Color;HPRC1;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;
2004 23 3;16;28042610016;3;0;0;1;0;0;0;0;0;0;
2004 23 3;17;28042550005;3;0;0;1;0;0;0;0;0;0;
2004 23 3;18;28042410592;3;0;0;1;0;1;0;0;0;0;
2004 23 3;19;28042340523;3;1;0;1;0;0;0;0;0;0;
2004 23 3;20;28042560002;3;0;0;1;0;0;0;0;0;0;
2004 23 3;21;28042440412;3;0;0;1;0;0;0;0;0;0;
2004 23 3;22;28042610032;3;0;0;1;1;0;0;0;0;0;
2004 23 3;23;28042440006;3;0;0;1;0;1;0;0;0;0;
2004 23 3;24;28042440141;3;0;0;1;0;0;0;1;0;0;
2004 23 3;25;28042340176;3;1;0;1;0;0;0;0;0;0;
2004 23 3;26;28042440177;3;0;0;1;0;0;0;0;0;0;
2004 23 3;27;28042440281;3;0;1;1;0;1;0;0;0;1;
2004 23 3;28;28042440404;3;0;0;1;0;0;0;0;0;0;
2004 23 3;29;28042440406;3;0;0;1;0;0;0;0;0;0;
2004 23 3;30;28042440671;3;0;0;1;0;0;0;0;0;0;
2004 23 3;31;28042240712;2;0;0;1;0;1;0;0;0;0;
2004 23 3;32;28042440186;3;1;0;1;0;0;0;0;0;0;
2004 23 3;33;28042610030;3;0;0;1;1;0;0;0;0;0;
2004 23 3;34;28042440409;3;0;0;1;0;0;0;0;0;0;
2004 23 3;35;28042440010;3;0;0;1;0;1;0;0;0;0;
2004 23 3;36;28042440112;3;0;0;1;0;0;0;0;0;0;
2004 23 3;37;28042440155;3;0;0;1;0;0;0;0;0;0;
2004 23 3;38;28042440408;3;0;0;1;1;0;0;0;0;0;
2004 23 3;39;28042440030;3;0;0;1;0;1;0;0;0;0;
2004 23 3;40;28042440126;3;0;0;1;0;0;0;0;0;0;
2004 23 3;41;28042440245;3;0;0;1;0;0;0;0;0;0;
2004 23 3;42;28042440184;3;1;0;1;0;0;0;0;0;0;
2004 23 3;43;28042440659;3;0;0;1;0;1;0;0;0;0;
2004 23 3;44;28042440402;3;0;0;1;0;0;0;0;0;0;
2004 23 3;45;28042440166;3;0;0;1;0;0;0;0;0;0;
2004 23 3;46;28042440120;3;0;0;1;0;0;0;0;0;0;
2004 23 3;47;28042440003;3;0;0;1;0;1;0;0;0;0;
2004 23 3;48;28042440133;3;0;0;1;0;0;0;0;0;0;
2004 23 3;49;28042440162;1;0;0;1;0;0;0;0;0;0;
2004 23 3;50;28042440629;3;0;0;1;1;0;0;0;0;0;
2004 23 3;51;28042440043;3;0;0;1;0;1;0;0;0;0;
2004 23 3;52;28042440403;3;0;0;1;0;0;0;0;0;0;
2004 23 3;53;28042440279;3;0;0;1;0;0;0;0;0;0;
2004 23 3;54;28042440183;3;1;0;1;0;0;0;0;0;0;
2004 23 3;55;28042440008;3;0;0;1;0;1;0;0;0;0;
2004 23 3;56;28042440178;3;0;0;1;0;0;0;0;0;0;
2004 23 3;57;28042440685;3;0;0;1;1;0;0;0;0;0;
2004 23 3;58;28042440113;3;0;0;1;0;0;0;0;0;0;
2004 23 3;59;28042440012;3;0;0;1;0;1;0;0;0;0;
2004 23 3;60;28042440700;3;0;0;1;0;0;0;0;0;0;
2004 23 3;61;28042440138;3;0;0;1;0;0;0;0;0;0;
2004 23 3;62;28042340526;3;1;0;1;0;1;0;0;0;0;
2004 23 3;63;28042440176;3;0;0;1;1;0;0;0;0;0;
2004 23 3;64;28042240719;3;0;0;1;0;0;0;0;0;0;
2004 23 3;65;28042440282;3;0;1;1;0;1;0;0;0;1;
