Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;LPRC1;
2004 22 4;42;64042240783;5;0;0;0;0;0;
2004 22 4;43;64042240823;7;0;0;1;0;0;
2004 22 4;44;64042240607;5;0;0;0;0;0;
2004 22 4;45;64042240819;7;0;0;1;0;0;
2004 22 4;46;64042240746;7;0;0;0;0;0;
2004 22 4;47;64042240830;7;0;0;1;0;0;
2004 22 4;48;64042240671;5;0;0;0;0;0;
2004 22 4;49;64042240798;4;0;0;1;0;0;
2004 22 4;50;64042230841;4;0;0;0;0;0;
2004 22 4;51;64042241121;4;0;0;1;0;1;
2004 22 4;52;64042240747;4;0;0;0;0;0;
2004 22 4;53;64042240804;4;0;0;1;0;0;
2004 22 4;54;64042240714;5;0;0;0;0;0;
2004 22 4;55;64042240669;5;0;0;0;0;0;
2004 22 4;56;64042240844;2;0;0;1;0;0;
2004 22 4;57;64042241128;2;0;0;0;0;0;
2004 22 4;58;64042240848;2;0;0;1;0;0;
2004 22 4;59;64042240888;2;0;0;0;0;0;
2004 22 4;60;64042240845;2;0;0;1;0;0;
2004 22 4;61;64042240896;2;0;0;0;0;0;
2004 22 4;62;64042240847;2;0;0;1;0;0;
2004 22 4;63;64042240902;2;0;0;0;0;0;
2004 22 4;64;64042240768;2;0;0;0;0;0;
2004 22 4;65;64042240878;9;0;0;1;0;0;
2004 22 4;66;64042240899;9;0;0;0;0;0;
2004 22 4;67;64042240874;9;0;0;1;0;0;
2004 22 4;68;64042250841;1;0;0;0;0;1;
2004 22 4;69;64042240821;7;0;0;1;0;0;
2004 22 4;70;64042240728;7;0;0;0;0;0;
2004 22 4;71;64042240829;7;0;0;1;0;0;
2004 22 4;72;64042240767;1;0;0;0;0;0;
2004 22 4;73;64042240777;1;0;0;0;0;0;
2004 22 4;74;64042241124;1;0;0;1;0;0;
2004 22 4;75;64042240754;1;0;0;0;0;0;
2004 22 4;76;64042240752;1;0;0;0;0;0;
2004 22 4;77;64042240824;7;0;0;1;0;0;
2004 22 4;78;64042240774;1;0;0;0;0;0;
2004 22 4;79;64042240814;7;0;0;1;0;0;
2004 22 4;80;64042250839;1;0;0;0;0;1;
2004 22 4;81;64042240818;7;0;0;1;0;0;
2004 22 4;82;64042240692;5;0;0;0;0;0;
2004 22 4;83;64042240770;7;0;0;1;0;0;
2004 22 4;84;64042240582;5;0;0;0;0;0;
2004 22 4;85;64042240815;7;0;0;1;0;0;
2004 22 4;86;64042240717;5;0;0;0;0;0;
2004 22 4;87;64042240756;5;1;0;0;0;0;
2004 22 4;88;64042240603;5;0;0;0;0;0;
2004 22 4;89;64042240518;5;0;0;0;0;0;
2004 22 4;90;64042240879;9;0;0;1;0;0;
2004 22 4;91;64042240579;10;0;0;0;0;0;
2004 22 4;92;64042240612;10;0;0;0;0;0;
2004 22 4;93;64042240876;9;0;0;1;0;0;
2004 22 4;94;64042240769;5;1;0;0;0;0;
2004 22 4;95;64042240866;9;0;0;1;0;0;
2004 22 4;96;64042240614;10;0;0;0;0;0;
2004 22 4;97;64042240716;10;0;0;0;0;0;
2004 22 4;98;64042240869;9;0;0;1;0;0;
2004 22 4;99;64042230840;9;0;0;0;0;0;
2004 22 4;100;64042240742;9;1;0;0;0;0;
2004 22 4;101;64042240873;9;0;0;1;0;0;
2004 22 4;102;64042240729;9;0;0;0;0;0;
2004 22 4;103;64042240898;9;0;0;1;0;0;
2004 22 4;104;64042240766;2;0;0;0;0;0;
2004 22 4;105;64042240839;2;0;0;1;0;0;
2004 22 4;106;64042240779;2;0;0;0;0;0;
2004 22 4;107;64042240854;2;0;0;1;0;0;
2004 22 4;108;64042240778;2;0;0;0;0;0;
2004 22 4;109;64042240859;2;0;0;1;0;0;
2004 22 4;110;64042240738;2;0;0;0;0;0;
2004 22 4;111;64042240852;2;0;0;1;0;0;
2004 22 4;112;64042240737;2;0;0;0;0;0;
2004 22 4;113;64042240851;2;0;0;1;0;0;
2004 22 4;114;64042240773;2;0;0;0;0;0;
2004 22 4;115;64042240857;2;0;0;1;0;0;
2004 22 4;116;64042240753;2;0;0;0;0;0;
2004 22 4;117;64042240846;2;0;0;1;0;0;
2004 22 4;118;64042240751;2;0;0;0;0;0;
2004 22 4;119;64042240901;3;0;0;1;0;1;
2004 22 4;120;64042240555;10;1;0;0;0;0;
2004 22 4;121;64042250847;3;0;0;1;0;1;
2004 22 4;122;64042240660;10;0;0;0;0;0;
2004 22 4;123;64042240507;10;0;0;1;0;0;
2004 22 4;124;64042240621;10;0;0;0;0;0;
2004 22 4;125;64042240534;10;1;0;1;0;0;
2004 22 4;126;64042240700;10;0;0;0;0;0;
2004 22 4;127;64042240789;4;0;0;1;0;0;
2004 22 4;128;64042240657;10;0;0;0;0;0;
2004 22 4;129;64042240667;10;0;0;0;0;0;
2004 22 4;130;64042240809;4;0;0;1;0;0;
2004 22 4;131;64042241123;4;1;0;0;0;0;
2004 22 4;132;64042240808;4;0;0;1;0;0;
2004 22 4;133;64042240698;10;0;0;0;0;0;
2004 22 4;134;64042240704;10;0;0;0;0;0;
2004 22 4;135;64042240788;4;0;0;1;0;0;
2004 22 4;136;64042240724;4;0;0;0;0;0;
2004 22 4;137;64042240786;4;0;0;1;0;0;
2004 22 4;138;64042240583;4;0;0;0;0;0;
2004 22 4;139;64042240793;4;0;0;1;0;0;
2004 22 4;140;64042240666;4;0;0;0;0;0;
2004 22 4;141;64042240784;4;0;0;1;0;0;
2004 22 4;142;64042240641;1;0;0;0;0;0;
2004 22 4;143;64042240791;4;0;0;1;0;0;
2004 22 4;144;64042240744;1;0;0;0;0;0;
2004 22 4;145;64042240907;1;0;0;1;0;0;
2004 22 4;146;64042240889;1;1;0;0;0;0;
2004 22 4;147;64042240575;1;0;0;0;0;0;
2004 22 4;148;64042241125;1;0;0;1;0;1;
2004 22 4;149;64042240616;1;0;0;0;0;0;
2004 22 4;150;64042240584;1;0;0;0;0;0;
2004 22 4;151;64042240828;7;0;0;1;0;0;
2004 22 4;152;64042240772;1;1;0;0;0;0;
2004 22 4;153;64042240822;7;0;0;1;0;0;
2004 22 4;154;64042240739;7;0;0;0;0;0;
2004 22 4;155;64042240827;7;0;0;1;0;0;
2004 22 4;156;64042240615;7;0;0;0;0;0;
2004 22 4;157;64042240811;7;0;0;1;0;0;
2004 22 4;158;64042240528;5;1;0;0;0;0;
2004 22 4;159;64042240133;5;0;0;0;0;0;
2004 22 4;160;64042240826;7;0;0;1;0;0;
2004 22 4;161;64042240618;1;0;0;0;0;0;
2004 22 4;162;64042240668;1;0;0;0;0;0;
2004 22 4;163;64042240877;9;0;0;1;0;0;
2004 22 4;164;64042240640;9;0;0;0;0;0;
2004 22 4;165;64042240882;9;0;0;1;0;0;
2004 22 4;166;64042240642;1;0;0;0;0;0;
2004 22 4;167;64042240884;9;0;0;1;0;0;
2004 22 4;168;64042240576;1;1;0;0;0;0;
2004 22 4;169;64042241120;1;0;0;1;0;1;
2004 22 4;170;64042240587;1;0;0;0;0;0;
2004 22 4;171;64042240755;1;0;0;1;0;0;
2004 22 4;172;64042240594;1;0;0;0;0;0;
2004 22 4;173;64042240863;9;0;0;1;0;0;
2004 22 4;174;64042250866;1;1;0;0;0;0;
2004 22 4;175;64042240604;1;0;0;1;0;0;
2004 22 4;176;64042240695;1;0;0;0;0;0;
2004 22 4;177;64042240860;2;0;0;1;0;0;
2004 22 4;178;64042240740;2;0;0;0;0;0;
2004 22 4;179;64042240837;2;0;0;1;0;0;
2004 22 4;180;64042240725;2;0;0;0;0;0;
2004 22 4;181;64042240841;2;0;0;1;0;0;
2004 22 4;182;64042240609;2;1;0;0;0;0;
2004 22 4;183;64042240836;2;0;0;1;0;0;
2004 22 4;184;64042240732;2;0;0;0;0;0;
2004 22 4;185;64042240849;2;0;0;1;0;0;
2004 22 4;186;64042240726;2;0;0;0;0;0;
2004 22 4;187;64042240840;2;0;0;1;0;0;
2004 22 4;188;64042240591;1;0;0;0;0;0;
2004 22 4;189;64042211202;1;0;0;0;0;0;
2004 22 4;190;64042240909;1;1;0;1;0;1;
2004 22 4;191;64042240600;1;0;0;0;0;0;
2004 22 4;192;64042240802;4;0;0;1;0;0;
2004 22 4;193;64042240572;1;0;0;0;0;0;
2004 22 4;194;64042240794;4;0;0;1;0;0;
2004 22 4;195;64042240643;4;0;0;0;0;0;
2004 22 4;196;64042240805;4;0;0;1;0;0;
2004 22 4;197;64042240588;10;0;0;0;0;0;
2004 22 4;198;64042240526;10;0;0;1;0;0;
2004 22 4;199;64042240651;10;0;0;0;0;0;
2004 22 4;200;64042240636;10;0;0;0;0;0;
2004 22 4;201;64042240880;9;0;0;1;0;0;
2004 22 4;202;64042240589;9;0;0;0;0;0;
2004 22 4;203;64042240875;9;0;0;1;0;0;
2004 22 4;204;64042240613;10;0;0;0;0;0;
2004 22 4;205;64042240864;9;0;0;1;0;0;
2004 22 4;206;64042240585;10;0;0;0;0;0;
2004 22 4;207;64042240885;9;0;0;1;0;0;
2004 22 4;208;64042240710;1;0;0;0;0;0;
2004 22 4;209;64042240796;4;0;0;1;0;0;
2004 22 4;210;64042240623;4;0;0;0;0;0;
2004 22 4;211;64042240787;4;0;0;1;0;0;
2004 22 4;212;64042240672;4;0;0;0;0;0;
2004 22 4;213;64042240795;4;0;0;1;0;0;
2004 22 4;214;64042240577;1;0;0;0;0;0;
2004 22 4;215;64042211213;1;0;0;0;0;0;
2004 22 4;216;64042240697;1;0;0;0;0;0;
2004 22 4;217;64042240530;1;1;0;1;0;1;
2004 22 4;218;64042240699;1;0;0;0;0;0;
2004 22 4;219;64042240870;9;0;0;1;0;0;
2004 22 4;220;64042240705;1;0;0;0;0;0;
2004 22 4;221;64042240862;9;0;0;1;0;0;
2004 22 4;222;64042240658;9;0;0;0;0;0;
2004 22 4;223;64042240881;9;0;0;1;0;0;
2004 22 4;224;64042240628;9;0;0;0;0;0;
2004 22 4;225;64042240871;9;0;0;1;0;0;
2004 22 4;226;64042240606;9;0;0;0;0;0;
2004 22 4;227;64042240868;9;0;0;1;0;0;
2004 22 4;228;64042240696;1;0;0;0;0;0;
2004 22 4;229;64042240816;7;0;0;1;0;0;
2004 22 4;230;64042240617;7;0;0;0;0;0;
2004 22 4;231;64042240832;7;0;0;1;0;0;
2004 22 4;232;64042240691;1;0;0;0;0;0;
2004 22 4;233;64042240825;7;0;0;1;0;0;
2004 22 4;234;64042250838;1;1;0;0;0;0;
2004 22 4;235;64042240831;7;0;0;1;0;0;
2004 22 4;236;64042240598;1;0;0;0;0;0;
2004 22 4;237;64042230823;1;0;0;1;0;0;
2004 22 4;238;64042240711;1;0;0;0;0;0;
2004 22 4;239;64042240781;1;0;0;1;0;1;
2004 22 4;240;64042250766;1;1;0;0;0;0;
2004 22 4;241;64042240833;7;0;0;1;0;0;
2004 22 4;242;64042240622;1;0;0;0;0;0;
2004 22 4;243;64042240834;7;0;0;1;0;0;
2004 22 4;244;64042240521;1;0;0;0;0;0;
2004 22 4;245;64042240813;7;0;0;1;0;0;
2004 22 4;246;64042240144;1;0;0;0;0;0;
2004 22 4;247;64042240146;1;0;0;0;0;0;
2004 22 4;248;64042240835;7;0;0;1;0;0;
2004 22 4;249;64042250822;1;0;0;0;0;0;
2004 22 4;250;64042250855;7;0;0;1;0;0;
2004 22 4;251;64042250843;1;0;0;0;0;0;
2004 22 4;252;64042240807;4;0;0;1;0;0;
2004 22 4;253;64042250820;1;0;0;0;0;0;
2004 22 4;254;64042240810;4;0;0;1;0;0;
2004 22 4;255;64042250821;1;0;0;0;0;0;
2004 22 4;256;64042240801;4;0;0;1;0;0;
2004 22 4;257;64042240707;4;0;0;0;0;0;
2004 22 4;258;64042240800;4;0;0;1;0;0;
2004 22 4;259;64042240635;4;0;0;0;0;0;
2004 22 4;260;64042240653;4;0;0;1;0;0;
2004 22 4;261;64042240611;4;0;0;0;0;0;
2004 22 4;262;64042240910;4;0;0;1;0;1;
2004 22 4;263;64042240637;6;0;0;0;0;0;
2004 22 4;264;64042240624;4;0;0;1;0;0;
2004 22 4;265;64042240554;6;0;1;0;0;0;
2004 22 4;266;64042240694;4;0;0;1;0;0;
2004 22 4;267;64042240601;4;0;0;0;0;0;
2004 22 4;268;64042240646;4;0;0;0;0;0;
2004 22 4;269;64042240539;4;0;0;1;0;0;
2004 22 4;270;64042240663;4;0;0;0;0;0;
2004 22 4;271;64042240537;4;0;0;1;0;0;
2004 22 4;272;64042250803;4;1;0;0;0;0;
2004 22 4;273;64042240519;4;0;0;1;0;0;
2004 22 4;274;64042250825;4;0;0;0;0;0;
2004 22 4;275;64042240559;4;0;0;1;0;0;
2004 22 4;276;64042250824;4;0;0;0;0;0;
2004 22 4;277;64042240545;4;0;0;1;0;0;
2004 22 4;278;64042240665;10;0;0;0;0;0;
2004 22 4;279;64042240592;10;1;0;1;0;0;
2004 22 4;280;64042240689;10;0;0;0;0;0;
2004 22 4;281;64042240560;4;0;0;1;0;0;
2004 22 4;282;64042330836;4;0;0;0;0;0;
2004 22 4;283;64042240782;4;0;0;1;0;1;
2004 22 4;284;64042240610;10;0;0;0;0;0;
2004 22 4;285;64042240883;9;0;0;1;0;0;
2004 22 4;286;64042240645;9;0;0;0;0;0;
2004 22 4;287;64042240861;9;0;0;1;0;0;
2004 22 4;288;64042240630;9;0;0;0;0;0;
2004 22 4;289;64042230786;9;0;0;1;0;0;
2004 22 4;290;64042240906;8;1;0;0;0;0;
2004 22 4;291;64042240708;2;0;0;0;0;0;
2004 22 4;292;64042221025;2;0;0;1;0;0;
2004 22 4;293;64042240620;2;0;0;0;0;0;
2004 22 4;294;64042240855;2;0;0;1;0;0;
2004 22 4;295;64042240593;2;0;0;0;0;0;
2004 22 4;296;64042240843;2;0;0;1;0;0;
2004 22 4;297;64042240639;2;0;0;0;0;0;
2004 22 4;298;64042240631;2;0;0;0;0;0;
2004 22 4;299;64042240853;2;0;0;1;0;0;
2004 22 4;300;64042240632;2;0;0;0;0;0;
2004 22 4;301;64042240634;2;0;0;0;0;0;
2004 22 4;302;64042240842;2;0;0;1;0;0;
2004 22 4;303;64042240599;2;0;0;0;0;0;
2004 22 4;304;64042240858;2;0;0;1;0;0;
2004 22 4;305;64042240581;2;0;0;0;0;0;
2004 22 4;306;64042241126;7;1;0;1;0;0;
2004 22 4;307;64042240905;8;0;0;0;0;0;
2004 22 4;308;64042240903;8;0;0;1;0;0;
2004 22 4;309;64042240748;8;0;0;0;0;0;
2004 22 4;310;64042240838;2;0;0;1;0;0;
2004 22 4;311;64042240673;2;0;0;0;0;0;
2004 22 4;312;64042240532;2;1;0;1;0;0;
2004 22 4;313;64042240627;2;0;0;0;0;0;
2004 22 4;314;64042240856;2;0;0;1;0;0;
2004 22 4;315;64042240652;2;0;0;0;0;0;
2004 22 4;316;64042240776;2;0;0;1;0;0;
2004 22 4;317;64042240619;2;0;0;0;0;0;
2004 22 4;318;64042240677;2;0;0;1;0;0;
2004 22 4;319;64042240656;2;0;0;0;0;0;
2004 22 4;320;64042240688;2;0;0;1;0;0;
2004 22 4;321;64042240574;2;0;0;0;0;0;
2004 22 4;322;64042240693;2;0;0;1;0;0;
2004 22 4;323;64042240648;2;0;0;0;0;0;
2004 22 4;324;64042240685;2;0;0;1;0;0;
2004 22 4;325;64042240655;10;0;0;0;0;0;
2004 22 4;326;64042240712;10;0;0;0;0;0;
2004 22 4;327;64042240625;2;0;0;1;0;0;
2004 22 4;328;64042240713;2;0;0;0;0;0;
2004 22 4;329;64042240687;2;0;0;1;0;0;
2004 22 4;330;64042240715;2;0;0;0;0;0;
2004 22 4;331;64042240675;2;0;0;1;0;0;
2004 22 4;332;64042240706;2;0;0;0;0;0;
2004 22 4;333;64042240626;2;0;0;1;0;0;
2004 22 4;334;64042240649;2;0;0;0;0;0;
2004 22 4;335;64042240676;2;0;0;1;0;0;
2004 22 4;336;64042240629;2;0;0;0;0;0;
2004 22 4;337;64042240679;2;0;0;1;0;0;
2004 22 4;338;64042240605;2;0;0;0;0;0;
2004 22 4;339;64042240684;2;0;0;1;0;0;
2004 22 4;340;64042240596;2;0;0;0;0;0;
2004 22 4;341;64042240680;2;0;0;1;0;0;
2004 22 4;342;64042240749;8;0;0;0;0;0;
2004 22 4;343;64042240765;8;1;0;0;0;0;
2004 22 4;344;64042230798;9;0;0;1;0;0;
2004 22 4;345;64042240341;9;0;0;0;0;0;
2004 22 4;346;64042230787;9;0;0;1;0;0;
2004 22 4;347;64042240580;9;0;0;0;0;0;
2004 22 4;348;64042230789;9;0;0;1;0;0;
2004 22 4;349;64042240722;8;1;0;0;0;0;
2004 22 4;350;64042230784;8;0;0;1;0;0;
2004 22 4;351;64042240780;8;0;0;0;0;0;
2004 22 4;352;64042230783;8;0;0;1;0;0;
2004 22 4;353;64042240597;8;0;0;0;0;0;
2004 22 4;354;64042230790;9;0;0;1;0;0;
2004 22 4;355;64042240702;8;0;0;0;0;0;
2004 22 4;356;64042230788;9;0;0;1;0;0;
2004 22 4;357;64042240608;2;0;0;0;0;0;
2004 22 4;358;64042240661;2;0;0;1;0;0;
2004 22 4;359;64042240578;2;0;0;0;0;0;
2004 22 4;360;64042320871;4;0;0;1;0;1;
2004 22 4;361;64042240718;6;0;0;0;0;0;
2004 22 4;362;64042240536;4;0;0;1;0;0;
2004 22 4;363;64042510037;4;0;0;0;0;0;
2004 22 4;364;64042240137;4;0;0;1;0;0;
2004 22 4;365;64042240647;2;0;0;0;0;0;
2004 22 4;366;64042240678;2;0;0;1;0;0;
2004 22 4;367;64042240650;2;0;0;0;0;0;
2004 22 4;368;64042240659;2;0;0;1;0;0;
2004 22 4;369;64042240664;2;0;0;0;0;0;
2004 22 4;370;64042240654;2;0;0;1;0;0;
2004 22 4;371;64042240638;2;1;0;0;0;0;
2004 22 4;372;64042240586;2;0;0;1;0;0;
2004 22 4;373;64042240703;2;0;0;0;0;0;
2004 22 4;374;64042240674;2;0;0;1;0;0;
2004 22 4;375;64042240709;2;0;0;0;0;0;
2004 22 4;376;64042240681;2;0;0;1;0;0;
2004 22 4;377;64042240701;2;0;0;0;0;0;
2004 22 4;378;64042240686;2;0;0;1;0;0;
2004 22 4;379;64042240590;2;0;0;0;0;0;
2004 22 4;380;64042240529;3;1;0;1;0;1;
2004 22 4;381;64042240690;2;0;0;0;0;0;
2004 22 4;382;64042240683;2;0;0;1;0;0;
2004 22 4;383;64042240548;2;0;0;0;0;0;
2004 22 4;384;64042240682;2;0;0;1;0;0;
2004 22 4;385;64042240520;2;0;0;0;0;0;
2004 22 4;386;64042240558;2;0;0;1;0;0;
2004 22 4;387;64042240147;2;0;0;0;0;0;
2004 22 4;388;64042240556;2;0;0;1;0;0;
2004 22 4;389;64042240602;2;1;0;0;0;0;
2004 22 4;390;64042240531;2;0;0;1;0;0;
2004 22 4;391;64042240132;2;0;0;0;0;0;
2004 22 4;392;64042240538;2;0;0;1;0;0;
2004 22 4;393;64042240551;2;0;0;0;0;0;
2004 22 4;394;64042230785;9;0;0;1;0;0;
2004 22 4;395;64042250815;2;0;0;0;0;0;
2004 22 4;396;64042240533;2;0;0;1;0;0;
2004 22 4;397;64042250818;2;0;0;0;0;0;
2004 22 4;398;64042250814;2;0;0;0;0;0;
2004 22 4;399;64042240557;2;0;0;1;0;0;
2004 22 4;400;64042250817;2;0;0;0;0;0;
2004 22 4;401;64042240745;2;0;0;1;0;0;
2004 22 4;402;64042250819;2;0;0;0;0;0;
2004 22 4;403;64042250862;2;0;0;1;0;0;
2004 22 4;404;64042250837;2;1;0;0;0;0;
2004 22 4;405;64042250861;2;0;0;1;0;0;
2004 22 4;406;64042250816;2;0;0;0;0;0;
2004 22 4;407;64042250731;2;0;0;1;0;0;
2004 22 4;408;64042250845;2;0;0;0;0;0;
2004 22 4;409;64042250023;2;0;0;1;0;0;
2004 22 4;410;64042250823;1;0;0;0;0;0;
2004 22 4;411;64042250840;1;0;0;0;0;1;
2004 22 4;412;64042240785;9;0;0;1;0;0;
