Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;LPRC11;LPRC12;
2004 22 2;1140;25042330971;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;1141;25042220122;16;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;
2004 22 2;1142;25042330578;16;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 2;1143;25042320723;16;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 2;1144;25042240731;16;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;
2004 22 2;1145;25042250645;16;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;
2004 22 2;1146;25042350596;16;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;
2004 22 2;1147;25042220098;16;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;
2004 22 2;1148;25042330974;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;1149;25042211362;16;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 2;1150;25042330618;16;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 2;1151;25042211138;16;1;0;1;1;1;1;1;1;0;1;1;0;1;0;0;1;
2004 22 2;1152;25042210231;16;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 22 2;1153;25042330973;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;1154;25042211261;16;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 2;1155;25042210128;16;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 22 2;1156;25042330055;16;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 2;1157;25042321253;16;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;
2004 22 2;1158;25042330880;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;1159;25042220822;16;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 2;1160;25042210238;16;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 22 2;1161;25042450404;16;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;
2004 22 2;1162;25042330564;16;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;
2004 22 2;1163;25042240419;16;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 2;1164;25042210239;16;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 22 2;1165;25042330619;16;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;
2004 22 2;1166;25042320422;16;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;
2004 22 2;1167;25042240569;16;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;1168;25042210347;16;0;1;1;1;1;1;0;1;0;0;1;0;0;1;0;1;
2004 22 2;1169;25042230328;16;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;
2004 22 2;1170;25042211231;16;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;
2004 22 2;1171;25042050503;16;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 22 2;1172;25042330806;16;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;1173;25042330003;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 2;1174;25042230829;16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 22 2;1175;25042220088;16;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;
2004 22 2;1176;25042330617;16;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 2;1177;25042320424;16;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;
2004 22 2;1178;25042340056;16;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;
2004 22 2;1179;25042220108;16;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;
2004 22 2;1180;25042330991;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 2;1181;25042340565;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 2;1182;25042220075;16;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 22 2;1183;25042320913;16;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;
2004 22 2;1184;25042330584;16;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 2;1185;25042250346;16;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 22 2;1186;25042211136;16;1;0;1;1;1;1;1;1;0;1;1;0;1;0;0;1;
2004 22 2;1187;25042321083;16;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
2004 22 2;1188;25042321255;16;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;
2004 22 2;1189;25042330558;16;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 2;1190;25042320420;16;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 2;1191;25042430246;15;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;
2004 22 3;1;25042230349;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 3;2;25042250622;11;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;
2004 22 3;3;25042230782;19;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;4;25042230793;19;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;5;25042230230;19;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;6;25042230783;19;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;7;25042230734;19;1;0;1;1;1;1;1;0;0;0;1;0;0;0;0;1;
2004 22 3;8;25042230228;19;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;9;25042230767;19;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;10;25042230363;19;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;11;25042230776;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;12;25042230752;19;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;13;25042250326;16;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 3;14;25042320891;16;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;15;25042240028;16;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;
2004 22 3;16;25042330700;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;17;25042240776;16;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;
2004 22 3;18;25042220143;16;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 22 3;19;25042103421;16;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;20;25042250324;16;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 3;21;25042330869;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;22;25042250453;16;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;
2004 22 3;23;25042230781;19;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;24;25042230224;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;25;25042230751;19;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;26;25042230758;19;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;27;25042230225;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;28;25042230744;19;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;29;25042230864;19;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;
2004 22 3;30;25042230229;19;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;31;25042230578;19;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;32;25042230318;19;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;33;25042240612;11;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 3;34;25042320044;11;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;
2004 22 3;35;25042321441;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 3;36;25042250564;11;0;1;1;0;0;1;0;1;0;1;1;0;1;1;0;0;
2004 22 3;37;25042330040;11;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;
2004 22 3;38;25042320046;11;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;
2004 22 3;39;25042320106;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 22 3;40;25042330922;11;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;
2004 22 3;41;25042320291;11;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 22 3;42;25042230023;11;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;
2004 22 3;43;25042230743;19;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;44;25042230495;19;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;45;25042230226;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;46;25042230757;19;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;47;25042230358;19;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;48;25042230227;19;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;49;25042230755;19;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;
2004 22 3;50;25042230779;19;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;51;25042230223;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;52;25042230742;19;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;53;25042321044;16;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;54;25042250678;16;1;1;0;0;0;1;0;1;1;0;1;0;0;1;0;0;
2004 22 3;55;25042340817;16;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;
2004 22 3;56;25042240774;16;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;57;25042340364;16;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;58;25042240585;16;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;59;25042330701;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;60;25042240736;16;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;61;25042220095;16;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 22 3;62;25042331052;16;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;
2004 22 3;63;25042230345;19;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;64;25042230713;19;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;65;25042330590;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;66;25042230761;19;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;67;25042230778;19;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;68;25042230293;19;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;
2004 22 3;69;25042230626;19;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;
2004 22 3;70;25042230222;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;71;25042230745;19;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;72;25042230631;19;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;73;25042321218;15;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;
2004 22 3;74;25042230784;15;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;
2004 22 3;75;25042330994;15;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 3;76;25042230370;15;1;0;1;1;0;1;0;0;0;0;1;0;1;0;0;1;
2004 22 3;77;25042321139;15;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 22 3;78;25042321403;15;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;
2004 22 3;79;25042330694;15;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;
2004 22 3;80;25042321140;15;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 22 3;81;25042330867;15;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 22 3;82;25042321401;15;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;
2004 22 3;83;25042230491;19;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;84;25042230746;19;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;85;25042230233;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;86;25042230749;19;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;87;25042230737;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;88;25042230691;19;0;1;1;0;0;1;0;1;0;0;1;0;0;1;0;1;
2004 22 3;89;25042230868;19;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;90;25042230234;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;91;25042230542;19;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;92;25042230322;19;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;93;25042331007;16;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 3;94;25042220145;16;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 22 3;95;25042230558;16;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;96;25042340361;16;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;97;25042250488;16;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;98;25042330866;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;99;25042240682;16;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;100;25042321364;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 3;101;25042320893;16;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;102;25042320876;16;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;103;25042230235;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;104;25042230738;19;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;105;25042230552;19;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;
2004 22 3;106;25042250314;19;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;107;25042230389;19;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 3;108;25042230364;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;109;25042230314;19;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;110;25042230239;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;111;25042330856;19;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;112;25042230319;19;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;113;25042340954;11;0;1;0;0;0;1;0;1;0;1;1;0;1;1;0;0;
2004 22 3;114;25042340622;11;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;
2004 22 3;115;25042320048;11;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;
2004 22 3;116;25042321413;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 3;117;25042330606;11;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;
2004 22 3;118;25042230563;11;1;0;1;1;1;1;0;0;0;0;1;0;1;0;0;1;
2004 22 3;119;25042321410;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 3;120;25042240599;11;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 3;121;25042330020;11;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;
2004 22 3;122;25042321412;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 3;123;25042230386;19;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;124;25042331035;19;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;125;25042230353;19;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;126;25042230747;19;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;127;25042230279;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;128;25042230321;19;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;1;
2004 22 3;129;25042331034;19;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;130;25042230231;19;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;131;25042330913;19;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;132;25042230312;19;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;133;25042320761;16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;134;25042240706;16;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;135;25042320896;16;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;136;25042321371;16;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;
2004 22 3;137;25042330287;16;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 22 3;138;25042240726;16;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;139;25042330703;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;140;25042320806;16;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;141;25042330569;16;0;1;1;0;0;1;0;1;0;0;1;0;0;1;0;0;
2004 22 3;142;25042330716;16;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 3;143;25042230316;19;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;144;25042330914;19;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;145;25042230232;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;146;25042230009;19;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;147;25042230294;19;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;1;
2004 22 3;148;25042230238;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;149;25042230366;19;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;150;25042330621;19;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;151;25042230750;19;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;152;25042230320;19;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;153;25042240665;14;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 3;154;25042240642;14;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;
2004 22 3;155;25042330783;14;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 22 3;156;25042230628;14;0;0;1;1;0;1;1;0;0;1;1;0;1;0;0;1;
2004 22 3;157;25042330870;14;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;
2004 22 3;158;25042330004;14;0;1;0;0;0;1;0;1;0;0;1;0;1;1;0;0;
2004 22 3;159;25042330788;14;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 22 3;160;25042260006;14;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;
2004 22 3;161;25042410893;14;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;
2004 22 3;162;25042330862;14;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
2004 22 3;163;25042230315;19;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;164;25042230362;19;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;
2004 22 3;165;25042230237;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 22 3;166;25042230007;19;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;167;25042230553;19;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;
2004 22 3;168;25042330278;19;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;
2004 22 3;169;25042330565;19;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;170;25042330719;16;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 3;171;25042320664;16;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;
2004 22 3;172;25042320853;16;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;173;25042320802;16;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;174;25042321430;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 22 3;175;25042220500;16;1;1;1;1;0;1;0;1;0;0;1;0;0;1;0;1;
2004 22 3;176;25042240870;16;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 22 3;177;25042321358;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2004 22 3;178;25042320794;16;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;
2004 22 3;179;25042240590;16;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;1;
2004 22 3;180;25042321409;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 22 3;181;25042321214;11;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;
2004 22 3;182;25042330043;11;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;
2004 22 3;183;25042240547;11;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;
