Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;LPRC1;LPRC2;
2004 22 3;77;35042230519;1;1;0;0;0;
2004 22 3;78;35041940055;7;0;0;1;0;
2004 22 3;79;35042230447;7;0;0;1;1;
2004 22 3;80;35042230581;7;0;1;0;0;
2004 22 3;81;35042230582;7;0;0;0;1;
2004 22 3;82;35042230437;7;0;0;1;1;
2004 22 3;83;35042220276;1;1;0;0;0;
2004 22 3;84;35042230102;1;0;0;1;1;
2004 22 3;85;35042230574;1;0;1;0;0;
2004 22 3;86;35042230584;1;0;0;0;1;
2004 22 3;87;35042240045;1;0;0;1;1;
2004 22 3;88;35042230554;5;0;1;0;0;
2004 22 3;89;35042230522;1;1;0;0;1;
2004 22 3;90;35042230004;7;0;0;1;1;
2004 22 3;91;35042230568;7;0;1;0;0;
2004 22 3;92;35042230009;7;0;0;1;1;
2004 22 3;93;35042230569;7;0;1;0;0;
2004 22 3;94;35042030174;7;0;0;1;0;
2004 22 3;95;35042240336;1;1;0;0;1;
2004 22 3;96;35042230561;6;0;1;0;0;
2004 22 3;97;35042330143;7;0;0;1;1;
2004 22 3;98;35042230558;6;0;1;0;0;
2004 22 3;99;35042240072;1;0;0;1;1;
2004 22 3;100;35042240335;1;1;0;0;0;
2004 22 3;101;35042240065;1;0;0;1;1;
2004 22 3;102;35042230559;6;0;1;0;0;
2004 22 3;103;35042240066;1;0;0;1;1;
2004 22 3;104;35042240219;1;1;0;0;0;
2004 22 3;105;35042240067;1;0;0;1;1;
2004 22 3;106;35042230562;6;0;1;0;0;
2004 22 3;107;35042230006;7;0;0;1;1;
2004 22 3;108;35042030175;7;0;0;1;0;
2004 22 3;109;35042220292;2;1;0;0;1;
2004 22 3;110;35042230565;2;0;1;0;0;
2004 22 3;111;35042230013;3;0;0;1;1;
2004 22 3;112;35042230072;3;0;0;1;1;
2004 22 3;113;35042230564;2;0;1;0;0;
2004 22 3;114;35042240085;2;0;0;1;1;
2004 22 3;115;35042230516;2;1;0;0;0;
2004 22 3;116;35042240082;2;0;0;1;1;
2004 22 3;117;35042240080;2;0;0;1;1;
2004 22 3;118;35042230567;2;0;1;0;0;
2004 22 3;119;35042220286;2;1;0;0;1;
2004 22 3;120;35042230007;3;0;0;1;1;
2004 22 3;121;35042040311;3;0;0;1;0;
2004 22 3;122;35042230012;3;0;0;1;1;
2004 22 3;123;35042230560;6;0;1;0;0;
2004 22 3;124;35042410046;6;1;0;0;1;
2004 22 3;125;35042130285;3;0;0;1;0;
2004 22 3;126;35042230421;3;0;0;1;1;
2004 22 3;127;35042230580;6;0;1;0;0;
2004 22 3;128;35042320197;1;1;0;0;1;
