Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;HPRC7;HPRC8;HPRC9;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;
2004 23 3;11;23042320862;12;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;12;23042320171;12;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;
2004 23 3;13;23042320637;12;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;14;23042440075;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;15;23042310934;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;16;23042320207;4;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;
2004 23 3;17;23042310048;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;18;23042311220;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;19;23042440102;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;20;23042310652;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;21;23042311232;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;22;23042310584;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;23;23042310541;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;24;23042321083;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;
2004 23 3;25;23042310651;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;26;23042320680;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;27;23042440064;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;28;23042310133;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;29;23042320215;12;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;30;23042320233;12;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;
2004 23 3;31;23042320640;12;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;32;23042440133;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;33;23042320059;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;
2004 23 3;34;23042310233;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;35;23042320591;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;36;23042310235;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;37;23042130958;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
2004 23 3;38;23042310881;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;39;23042310755;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;40;23042440134;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;41;23042320593;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;42;23042310240;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;43;23042310542;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;44;23042311027;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;45;23042321049;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;
2004 23 3;46;23042320675;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;47;23042310237;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;48;23042310893;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;49;23042440097;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;50;23042311253;6;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;51;23042310878;6;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;52;23042310694;6;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;53;23042310558;6;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;54;23042320532;6;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 23 3;55;23042310559;6;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;56;23042320684;6;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;57;23042310554;6;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;58;23042440148;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;59;23042310175;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;60;23042310128;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;61;23042310165;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;62;23042320965;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;
2004 23 3;63;23042310954;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;64;23042310119;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;65;23042310688;4;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;66;23042440083;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;67;23042310134;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;68;23042310922;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;69;23042321037;4;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;
2004 23 3;70;23042310089;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;71;23042310148;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;72;23042440141;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;73;23042310171;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;74;23042310940;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;75;23042321048;4;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;
2004 23 3;76;23042311039;4;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;77;23042310129;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;78;23042310930;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;79;23042320071;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;80;23042320157;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 23 3;81;23042310903;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;82;23042310256;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;83;23042310142;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;84;23042440128;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;85;23042311374;2;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;86;23042320281;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;87;23042310957;2;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;88;23042440077;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;89;23042311442;11;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;90;23042440131;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;91;23042310160;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;92;23042310071;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;93;23042320068;4;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;
2004 23 3;94;23042310053;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;95;23042321044;4;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;
2004 23 3;96;23042310132;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;97;23042310576;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;98;23042310932;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;99;23042310800;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;100;23042440122;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;101;23042320389;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;
2004 23 3;102;23042320585;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;103;23042310248;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;104;23042310212;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;105;23042311028;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;106;23042440129;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;107;23042310127;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;108;23042310112;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;109;23042310115;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;110;23042321071;4;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;
2004 23 3;111;23042310047;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;112;23042440056;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;113;23042320201;4;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;
2004 23 3;114;23042310689;4;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;115;23042320186;4;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 23 3;116;23042310900;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;117;23042310172;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;118;23042440146;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;119;23042320663;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;120;23042311292;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;121;23042321061;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;
2004 23 3;122;23042310546;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;123;23042320582;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;124;23042310245;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;125;23042430131;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;126;23042311322;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;127;23042310551;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;128;23042320852;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;129;23042310545;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;130;23042602234;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;131;23042311376;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;132;23042310213;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;133;23042320588;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;134;23042310854;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;135;23042320596;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;
2004 23 3;136;23042310779;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;137;23042321016;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;138;23042320670;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;139;23042320134;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;140;23042320190;2;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 23 3;141;23042320282;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;142;23042310158;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;143;23042310146;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;144;23042310123;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;145;23042440116;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;146;23042310920;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;147;23042310674;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;148;23042320831;2;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;149;23042320137;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 23 3;150;23042320614;2;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;151;23042310985;2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;152;23042310819;2;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;153;23042440125;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;154;23042310118;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;155;23042310574;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;156;23042321068;4;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;
2004 23 3;157;23042310083;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;158;23042310575;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;159;23042440088;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;160;23042321002;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;161;23042320882;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 23 3;162;23042321012;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;163;23042320589;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;164;23042320996;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;165;23042440119;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;166;23042310130;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;167;23042310152;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;168;23042310131;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;169;23042440069;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;170;23042320656;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;171;23042320982;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;172;23042311426;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;173;23042321023;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;174;23042340651;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 23 3;175;23042320664;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;176;23042321019;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;177;23042320998;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;178;23042320773;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;179;23042321079;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 23 3;180;23042320578;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;181;23042321015;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;182;23042330602;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;
2004 23 3;183;23042321029;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;184;23042320949;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;185;23042320665;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;186;23042440113;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;187;23042311035;10;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;188;23042311467;10;0;1;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;
2004 23 3;189;23042310657;10;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;190;23042440074;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;191;23042320639;12;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;192;23042321115;12;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;193;23042311259;12;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;194;23042320931;10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;
2004 23 3;195;23042321120;9;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;196;23042311389;9;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;197;23042310566;9;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;198;23042440143;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;199;23042320999;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;200;23042320650;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;201;23042340650;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 23 3;202;23042320995;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;203;23042321001;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;204;23042320669;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;205;23042320388;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;
2004 23 3;206;23042311101;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;207;23042321030;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;208;23042320681;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;209;23042320073;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;
2004 23 3;210;23042321006;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;211;23042310022;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;212;23042321038;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 23 3;213;23042320672;1;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;214;23042321027;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;215;23042321011;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;216;23042440118;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;217;23042310572;10;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;218;23042320202;10;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;219;23042440081;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;220;23042320708;2;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;221;23042310153;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;222;23042320043;2;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;223;23042320876;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 23 3;224;23042320599;2;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;225;23042320269;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;226;23042310003;2;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;227;23042320732;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;
2004 23 3;228;23042310650;2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;229;23042320834;2;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;230;23042320774;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;231;23042320953;2;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;
2004 23 3;232;23042440070;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;233;23042320615;2;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
2004 23 3;234;23042310612;2;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;
2004 23 3;235;23042310136;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;236;23042320209;4;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;
2004 23 3;237;23042310149;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;238;23042440127;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 23 3;239;23042310593;10;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;240;23042310828;10;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;241;23042310658;10;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;242;23042320252;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;
2004 23 3;243;23042320962;10;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;244;23042320293;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;
2004 23 3;245;23042311279;2;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;246;23042320951;2;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;247;23042320184;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;
2004 23 3;248;23042311042;2;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
2004 23 3;249;23042320711;2;0;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;
