Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;LPRC1;LPRC2;LPRC3;
2004 21 5;726;29042210279;5;0;0;1;0;0;0;1;
2004 21 5;727;29042160562;5;0;1;1;0;0;0;0;
2004 21 5;728;29042150177;5;0;0;0;1;1;0;1;
2004 21 5;729;29042210711;5;0;0;1;0;0;0;1;
2004 21 5;730;29042160609;4;0;0;1;0;0;0;0;
2004 21 6;1;29042160600;8;0;0;1;0;0;0;1;
2004 21 6;2;29042160576;8;0;0;1;0;0;0;1;
2004 21 6;3;29042150332;1;0;0;0;1;0;0;1;
2004 21 6;4;29042150340;1;0;0;0;1;0;0;1;
2004 21 6;5;29042410774;8;0;0;1;0;0;0;1;
2004 21 6;6;29042120641;8;0;1;1;0;0;0;1;
2004 21 6;7;29042210563;8;0;0;1;0;0;0;1;
2004 21 6;8;29042150355;1;0;0;0;1;0;0;1;
2004 21 6;9;29042160327;1;0;0;0;1;0;0;1;
2004 21 6;10;29042510161;5;0;0;1;0;0;0;1;
2004 21 6;11;29042510195;5;0;0;1;0;0;0;1;
2004 21 6;12;29042520022;5;0;0;1;0;0;0;1;
2004 21 6;13;29042110730;5;0;0;0;1;1;0;1;
2004 21 6;14;29042510136;5;0;0;1;0;0;0;1;
2004 21 6;15;29042160239;5;0;0;0;1;0;0;1;
2004 21 6;16;29042460100;5;0;0;1;0;0;0;1;
2004 21 6;17;29042510192;5;0;0;1;0;0;0;1;
2004 21 6;18;29042160289;1;0;0;0;1;0;0;1;
2004 21 6;19;29042120766;1;0;0;1;0;0;0;1;
2004 21 6;20;29042160292;1;0;0;0;1;0;0;1;
2004 21 6;21;29042160598;1;0;0;1;0;0;0;1;
2004 21 6;22;29042150248;1;0;0;0;1;1;0;1;
2004 21 6;23;29042120496;10;0;0;1;0;0;0;1;
2004 21 6;24;29042260074;10;0;0;1;0;0;0;1;
2004 21 6;25;29042150238;1;0;0;0;1;1;0;1;
2004 21 6;26;29042210568;1;0;0;1;0;0;0;0;
2004 21 6;27;29042160252;1;0;0;0;1;0;0;1;
2004 21 6;28;29042030211;10;0;0;1;0;0;0;0;
2004 21 6;29;29042210405;10;0;0;1;0;0;0;0;
2004 21 6;30;29042160254;1;0;0;0;1;0;0;1;
2004 21 6;31;29042160383;1;0;0;0;1;0;0;1;
2004 21 6;32;29042510130;5;0;0;1;0;0;0;1;
2004 21 6;33;29042510191;5;0;0;1;0;0;0;1;
2004 21 6;34;29042150469;5;0;0;1;0;0;0;1;
2004 21 6;35;29042160324;5;0;0;0;1;0;0;1;
2004 21 6;36;29042150265;5;0;0;0;1;1;0;1;
2004 21 6;37;29042150486;5;0;0;1;0;0;0;1;
2004 21 6;38;29042510173;5;0;0;1;0;0;0;1;
2004 21 6;39;29042510144;5;0;0;1;0;0;0;1;
2004 21 6;40;29042160229;7;0;0;0;1;0;0;1;
2004 21 6;41;29042160304;7;0;0;0;1;0;0;1;
2004 21 6;42;29042460090;5;0;0;1;0;0;0;1;
2004 21 6;43;29042510169;5;0;0;1;0;0;0;1;
2004 21 6;44;29042520005;5;0;0;1;0;0;0;1;
2004 21 6;45;29042160332;1;0;0;0;1;0;0;1;
2004 21 6;46;29042160262;1;0;0;0;1;0;0;1;
2004 21 6;47;29042510164;5;0;0;1;0;0;0;1;
2004 21 6;48;29042510147;5;0;0;1;0;0;0;1;
2004 21 6;49;29042160256;1;0;0;0;1;0;0;1;
2004 21 6;50;29042160281;1;0;0;0;1;0;0;1;
2004 21 6;51;29042160010;8;0;0;1;0;0;0;1;
2004 21 6;52;29042160047;8;0;0;1;0;0;0;1;
2004 21 6;53;29042310226;8;0;0;1;0;0;0;1;
2004 21 6;54;29042160280;1;0;0;0;1;0;0;1;
2004 21 6;55;29042160314;1;0;0;0;1;0;0;1;
2004 21 6;56;29042160033;8;0;0;1;0;0;0;1;
2004 21 6;57;29042160021;8;0;0;1;0;0;0;1;
2004 21 6;58;29042160017;8;0;0;1;0;0;0;1;
2004 21 6;59;29042160329;1;0;0;0;1;0;0;1;
2004 21 6;60;29042150250;1;0;0;0;1;1;0;1;
2004 21 6;61;29042160022;8;0;0;1;0;0;0;1;
2004 21 6;62;29042160030;8;0;0;1;0;0;0;1;
2004 21 6;63;29042160044;8;0;0;1;0;0;0;1;
2004 21 6;64;29042160331;6;0;0;0;1;0;0;1;
2004 21 6;65;29042160282;6;0;0;0;1;0;0;1;
2004 21 6;66;29042020289;11;0;0;1;0;0;0;0;
2004 21 6;67;29042210827;11;1;1;1;0;0;0;0;
2004 21 6;68;29042160306;7;0;0;0;1;0;0;1;
2004 21 6;69;29042160545;7;0;0;1;0;0;0;0;
2004 21 6;70;29042160320;7;0;0;0;1;0;0;1;
2004 21 6;71;29042210601;7;0;0;1;0;0;0;0;
2004 21 6;72;29042210600;7;0;0;1;0;0;0;0;
2004 21 6;73;29042160260;7;0;0;0;1;0;0;1;
2004 21 6;74;29042460079;5;0;0;1;0;0;0;1;
2004 21 6;75;29042140385;5;0;0;0;1;0;0;1;
2004 21 6;76;29042510197;5;0;0;1;0;0;0;1;
2004 21 6;77;29042510137;5;0;0;1;0;0;0;1;
2004 21 6;78;29042160279;1;0;0;0;1;0;0;1;
2004 21 6;79;29042210502;1;0;0;1;0;0;0;1;
2004 21 6;80;29042160338;1;0;0;0;1;0;0;1;
2004 21 6;81;29042210505;1;0;0;1;0;0;0;1;
2004 21 6;82;29042210512;1;1;0;1;0;0;0;1;
2004 21 6;83;29042160312;1;0;0;0;1;0;0;1;
2004 21 6;84;29042460101;5;0;0;1;0;0;0;1;
2004 21 6;85;29042160328;5;0;0;0;1;0;0;1;
2004 21 6;86;29042460102;5;0;0;1;0;0;0;1;
2004 21 6;87;29042510193;5;0;0;1;0;0;0;1;
2004 21 6;88;29042160334;1;0;0;0;1;0;0;1;
2004 21 6;89;29042460057;5;0;0;1;0;0;0;1;
2004 21 6;90;29042160263;5;0;0;0;1;0;0;1;
2004 21 6;91;29042510175;5;0;0;1;0;0;0;1;
2004 21 6;92;29042150468;5;0;0;1;0;0;0;1;
2004 21 6;93;29042050335;3;0;0;0;1;1;0;1;
2004 21 6;94;29042160606;3;0;0;1;0;0;0;1;
2004 21 6;95;29042160247;3;0;0;0;1;0;0;1;
2004 21 6;96;29042520012;5;0;0;1;0;0;0;1;
2004 21 6;97;29042510196;5;0;0;1;0;0;0;1;
2004 21 6;98;29042150226;5;0;0;0;1;1;0;1;
2004 21 6;99;29042510178;5;0;0;1;0;0;0;1;
2004 21 6;100;29042150269;5;0;0;0;1;1;0;1;
2004 21 6;101;29042510155;5;0;0;1;0;0;0;1;
2004 21 6;102;29042510157;5;0;0;1;0;0;0;1;
2004 21 6;103;29042160235;5;0;0;0;1;0;0;1;
2004 21 6;104;29042510174;5;0;0;1;0;0;0;1;
2004 21 6;105;29042150231;5;0;0;0;1;1;0;1;
2004 21 6;106;29042160336;5;0;0;0;1;0;0;1;
2004 21 6;107;29042460062;5;0;0;1;0;0;0;1;
2004 21 6;108;29042510152;5;0;0;1;0;0;0;1;
2004 21 6;109;29042220679;6;0;0;1;0;0;0;0;
2004 21 6;110;29042160246;6;0;0;0;1;0;0;1;
2004 21 6;111;29042160243;6;0;0;0;1;0;0;1;
2004 21 6;112;29042460061;5;0;0;1;0;0;0;1;
2004 21 6;113;29042510190;5;0;0;1;0;0;0;1;
2004 21 6;114;29042160340;5;0;0;0;1;0;0;1;
2004 21 6;115;29042460099;5;0;0;1;0;0;0;1;
2004 21 6;116;29042160258;7;0;0;0;1;0;0;1;
2004 21 6;117;29042150245;5;0;0;0;1;1;0;1;
2004 21 6;118;29042510128;5;0;0;1;0;0;0;1;
2004 21 6;119;29042510154;5;0;0;1;0;0;0;1;
2004 21 6;120;29042150483;5;0;0;1;0;0;0;1;
2004 21 6;121;29042160311;7;0;0;0;1;1;0;1;
2004 21 6;122;29042160257;7;0;0;0;1;0;0;1;
2004 21 6;123;29042430323;5;0;0;1;0;0;0;1;
2004 21 6;124;29042510176;5;0;0;1;0;0;0;1;
2004 21 6;125;29042460073;5;0;0;1;0;0;0;1;
2004 21 6;126;29042160335;5;0;0;0;1;0;0;1;
2004 21 6;127;29042460083;5;0;0;1;0;0;0;1;
2004 21 6;128;29042160305;7;0;0;0;1;0;0;1;
2004 21 6;129;29042160525;11;0;0;1;0;0;0;0;
2004 21 6;130;29042160595;11;0;0;1;0;0;0;1;
2004 21 6;131;29042160285;4;0;0;0;1;0;0;0;
2004 21 6;132;29042160446;4;1;1;1;0;0;0;0;
2004 21 6;133;29042160271;2;0;0;0;1;0;0;1;
2004 21 6;134;29042210390;2;0;0;0;1;0;0;1;
2004 21 6;135;29042320736;11;0;0;1;0;0;0;1;
2004 21 6;136;29042160549;11;0;0;1;0;0;0;1;
2004 21 6;137;29042160536;11;0;0;1;0;0;0;1;
2004 21 6;138;29042160302;6;0;0;0;1;0;0;1;
2004 21 6;139;29042160244;6;0;0;0;1;0;0;1;
2004 21 6;140;29042210783;5;0;0;1;0;0;1;1;
2004 21 6;141;29042520004;5;0;0;1;0;0;0;1;
2004 21 6;142;29042160286;4;0;0;0;1;0;0;0;
2004 21 6;143;29042160540;4;0;0;1;0;0;0;1;
2004 21 6;144;29042160296;4;0;0;0;1;0;0;1;
2004 21 6;145;29042210567;4;0;0;1;0;0;0;1;
2004 21 6;146;29042210819;4;0;0;1;0;0;0;0;
2004 21 6;147;29042160295;4;0;0;0;1;0;0;1;
2004 21 6;148;29042160517;4;1;0;1;0;0;0;0;
2004 21 6;149;29042160291;4;0;0;0;1;0;0;1;
2004 21 6;150;29042210507;4;0;0;1;0;0;0;0;
2004 21 6;151;29042210807;11;0;0;1;0;0;0;1;
2004 21 6;152;29042210569;11;0;0;1;0;0;0;1;
2004 21 6;153;29042210369;2;0;0;0;1;0;0;1;
2004 21 6;154;29042210387;2;0;0;0;1;0;0;1;
2004 21 6;155;29042210555;11;1;0;1;0;0;0;1;
2004 21 6;156;29042260391;11;0;0;1;0;0;0;1;
2004 21 6;157;29042310347;11;0;0;1;0;0;0;1;
2004 21 6;158;29042160310;7;0;0;0;1;0;0;1;
2004 21 6;159;29042160321;7;0;0;0;1;0;0;1;
2004 21 6;160;29042160605;11;0;0;1;0;0;1;1;
2004 21 6;161;29042210508;11;0;0;1;0;0;0;1;
2004 21 6;162;29042160401;11;0;0;1;0;0;0;0;
2004 21 6;163;29042160237;1;0;0;0;1;0;0;1;
2004 21 6;164;29042160308;1;0;0;0;1;0;0;1;
2004 21 6;165;29042160592;1;0;0;1;0;0;0;1;
2004 21 6;166;29042160543;1;0;0;1;0;0;0;1;
2004 21 6;167;29042420108;1;0;0;1;0;0;0;1;
2004 21 6;168;29042160277;1;0;0;0;1;0;0;1;
2004 21 6;169;29042160313;1;0;0;0;1;0;0;1;
2004 21 6;170;29042520017;5;0;0;1;0;0;0;1;
2004 21 6;171;29042210717;5;0;0;1;0;0;0;1;
2004 21 6;172;29042460075;5;0;0;1;0;0;0;1;
2004 21 6;173;29042150277;1;0;0;0;1;1;0;1;
2004 21 6;174;29042160408;1;0;0;0;1;0;0;1;
2004 21 6;175;29042160006;8;0;0;1;0;0;0;1;
2004 21 6;176;29042160034;8;0;0;1;0;0;0;1;
2004 21 6;177;29042160596;3;0;0;1;0;0;0;1;
2004 21 6;178;29042160299;3;0;0;0;1;0;0;1;
2004 21 6;179;29042160275;3;0;0;0;1;0;0;1;
2004 21 6;180;29042210059;3;0;0;1;0;0;0;1;
2004 21 6;181;29042160250;3;0;0;0;1;0;0;1;
2004 21 6;182;29042210803;10;0;0;1;0;0;0;1;
2004 21 6;183;29042210799;10;0;0;1;0;0;0;1;
2004 21 6;184;29042160298;3;0;0;0;1;0;0;1;
2004 21 6;185;29042160526;3;0;0;1;0;0;0;0;
2004 21 6;186;29042150237;3;0;0;0;1;1;0;1;
2004 21 6;187;29042210096;3;0;0;1;0;0;0;0;
2004 21 6;188;29042160290;3;0;0;0;1;0;0;1;
2004 21 6;189;29042160018;8;0;0;1;0;0;0;1;
2004 21 6;190;29042160001;8;0;0;1;0;0;0;1;
2004 21 6;191;29042160294;1;0;0;0;1;0;0;1;
2004 21 6;192;29042210727;1;0;0;1;0;0;1;1;
2004 21 6;193;29042150249;1;0;0;0;1;1;0;1;
2004 21 6;194;29042210554;1;0;0;1;0;0;0;1;
2004 21 6;195;29042160264;1;0;0;0;1;0;0;1;
2004 21 6;196;29042160045;8;0;0;1;0;0;0;1;
2004 21 6;197;29042160014;8;0;0;1;0;0;0;1;
2004 21 6;198;29042160255;1;0;0;0;1;0;0;1;
2004 21 6;199;29042210005;1;0;0;1;0;0;0;0;
2004 21 6;200;29042160278;1;0;0;0;1;0;0;1;
2004 21 6;201;29042160023;8;0;0;1;0;0;0;1;
2004 21 6;202;29042160041;8;0;0;1;0;0;0;1;
2004 21 6;203;29042160016;8;0;0;1;0;0;0;1;
2004 21 6;204;29042150216;1;0;0;0;1;1;0;1;
2004 21 6;205;29042160382;1;0;0;0;1;0;0;1;
2004 21 6;206;29042220681;8;0;0;1;0;0;1;1;
2004 21 6;207;29042160005;8;0;0;1;0;0;0;1;
2004 21 6;208;29042160293;1;0;0;0;1;0;0;1;
2004 21 6;209;29042160217;1;1;0;1;0;0;0;0;
2004 21 6;210;29042150272;1;0;0;0;1;1;0;1;
2004 21 6;211;29042160009;8;0;0;1;0;0;0;1;
2004 21 6;212;29042160012;8;0;0;1;0;0;0;1;
2004 21 6;213;29042150251;1;0;0;0;1;1;0;1;
2004 21 6;214;29042310162;1;0;0;1;0;0;0;1;
2004 21 6;215;29042150213;1;0;0;0;1;1;0;1;
2004 21 6;216;29042160019;8;0;0;1;0;0;0;1;
2004 21 6;217;29042160031;8;0;0;1;0;0;0;1;
2004 21 6;218;29042160240;1;0;0;0;1;0;0;1;
2004 21 6;219;29042160333;1;0;0;0;1;0;0;1;
2004 21 6;220;29042210558;1;0;0;1;0;0;0;1;
2004 21 6;221;29042160024;8;0;0;1;0;0;0;1;
2004 21 6;222;29042160039;8;0;0;1;0;0;0;1;
2004 21 6;223;29041820675;1;0;0;0;1;0;0;1;
2004 21 6;224;29042160109;1;0;0;0;1;0;0;1;
2004 21 6;225;29042210513;1;0;0;1;0;0;0;1;
2004 21 6;226;29042150679;1;0;0;1;0;0;0;1;
2004 21 6;227;29042210801;1;0;0;1;0;0;0;1;
2004 21 6;228;29042160196;1;0;0;0;1;0;0;1;
2004 21 6;229;29042150221;1;0;0;0;1;1;0;1;
2004 21 6;230;29042160578;1;0;0;1;0;0;0;0;
2004 21 6;231;29042460086;5;0;0;1;0;0;0;1;
2004 21 6;232;29042460080;5;0;0;1;0;0;0;1;
2004 21 6;233;29042150310;5;0;0;0;1;1;0;1;
2004 21 6;234;29042160339;5;0;0;0;1;0;0;1;
2004 21 6;235;29042460063;5;0;0;1;0;0;0;1;
2004 21 6;236;29042510133;5;0;0;1;0;0;0;1;
2004 21 6;237;29042510166;5;0;0;1;0;0;0;1;
2004 21 6;238;29042160323;7;0;0;0;1;0;0;1;
2004 21 6;239;29042160232;7;0;0;0;1;0;0;1;
2004 21 6;240;29042460091;5;0;0;1;0;0;0;1;
2004 21 6;241;29042510156;5;0;0;1;0;0;0;1;
2004 21 6;242;29042460074;5;0;0;1;0;0;0;1;
2004 21 6;243;29042160309;3;0;0;0;1;0;0;1;
2004 21 6;244;29042160409;3;0;0;0;1;0;0;1;
2004 21 6;245;29042210572;8;1;0;1;0;0;0;0;
2004 21 6;246;29042160035;8;0;0;1;0;0;0;1;
2004 21 6;247;29042160025;8;0;0;1;0;0;0;1;
2004 21 6;248;29042160248;3;0;0;0;1;0;0;1;
2004 21 6;249;29042160412;3;0;0;0;1;0;0;1;
2004 21 6;250;29042210135;3;0;0;1;0;0;0;0;
2004 21 6;251;29042210085;3;0;0;1;0;0;0;1;
2004 21 6;252;29042210088;3;0;0;1;0;0;0;1;
2004 21 6;253;29042160297;3;0;0;0;1;0;0;1;
2004 21 6;254;29042160410;3;0;0;0;1;0;0;1;
2004 21 6;255;29042460092;5;0;0;1;0;0;0;1;
2004 21 6;256;29042510134;5;0;0;1;0;0;0;1;
2004 21 6;257;29042460082;5;0;0;1;0;0;0;1;
2004 21 6;258;29042160249;1;0;0;0;1;0;0;1;
2004 21 6;259;29042050339;1;0;0;0;1;1;0;1;
2004 21 6;260;29042160567;1;0;0;1;0;0;0;0;
2004 21 6;261;29042210794;1;0;0;1;0;0;0;1;
2004 21 6;262;29042160089;1;0;0;0;1;0;0;1;
2004 21 6;263;29042210777;1;0;0;1;0;0;0;1;
2004 21 6;264;29042160100;1;0;0;0;1;0;0;1;
2004 21 6;265;29042210734;1;0;0;1;0;0;0;1;
2004 21 6;266;29042210733;1;0;0;1;0;0;0;1;
2004 21 6;267;29042150256;1;0;0;0;1;1;0;1;
2004 21 6;268;29042160559;1;0;1;1;0;0;0;1;
2004 21 6;269;29042150306;1;0;0;0;1;1;0;1;
2004 21 6;270;29042460081;5;0;0;1;0;0;0;1;
2004 21 6;271;29042460077;5;0;0;1;0;0;0;1;
2004 21 6;272;29042150278;5;0;0;0;1;1;0;1;
2004 21 6;273;29042510179;5;0;0;1;0;0;0;1;
2004 21 6;274;29042510177;5;0;0;1;0;0;0;1;
2004 21 6;275;29042160137;1;0;0;0;1;0;0;1;
2004 21 6;276;29042520007;5;0;0;1;0;0;0;1;
2004 21 6;277;29042210400;2;0;0;0;1;0;0;1;
2004 21 6;278;29042160537;8;0;0;1;0;0;0;0;
2004 21 6;279;29042160029;8;0;0;1;0;0;0;1;
2004 21 6;280;29042210399;2;0;0;0;1;0;0;1;
2004 21 6;281;29042160038;8;0;0;1;0;0;0;1;
2004 21 6;282;29042210394;2;0;0;0;1;0;0;1;
2004 21 6;283;29042510170;5;0;0;1;0;0;0;1;
2004 21 6;284;29042510127;5;0;0;1;0;0;0;1;
2004 21 6;285;29042210361;3;0;0;0;1;0;0;1;
2004 21 6;286;29042110792;3;0;0;1;0;0;0;0;
2004 21 6;287;29042160138;3;0;0;0;1;0;0;1;
2004 21 6;288;29042420101;10;0;0;1;0;0;0;1;
2004 21 6;289;29042160463;10;1;0;1;0;0;0;1;
2004 21 6;290;29042160242;6;0;0;0;1;0;0;1;
2004 21 6;291;29042460078;5;0;0;1;0;0;0;1;
2004 21 6;292;29042160317;5;0;0;0;1;0;0;1;
2004 21 6;293;29042510159;5;0;0;1;0;0;0;1;
2004 21 6;294;29042460088;5;0;0;1;0;0;0;1;
2004 21 6;295;29042160231;5;0;0;0;1;0;0;1;
2004 21 6;296;29042510139;5;0;0;1;0;0;0;1;
2004 21 6;297;29042160241;6;0;0;0;1;0;0;1;
2004 21 6;298;29042160544;6;0;0;1;0;0;0;0;
2004 21 6;299;29042160245;6;0;0;0;1;0;0;1;
2004 21 6;300;29042150485;5;0;0;1;0;0;0;1;
2004 21 6;301;29042510160;5;0;0;1;0;0;0;1;
2004 21 6;302;29042160268;1;0;0;0;1;0;0;1;
2004 21 6;303;29042210587;1;0;0;1;0;0;1;1;
2004 21 6;304;29042160096;1;0;0;0;1;0;0;1;
2004 21 6;305;29042210795;9;0;0;1;0;0;0;1;
2004 21 6;306;29042310338;9;0;0;1;0;0;0;1;
2004 21 6;307;29042160106;1;0;0;0;1;0;0;1;
2004 21 6;308;29042160485;1;1;0;1;0;0;0;1;
2004 21 6;309;29042160076;1;0;0;0;1;1;0;1;
2004 21 6;310;29042210723;1;0;0;1;0;0;0;1;
2004 21 6;311;29042210715;1;0;0;1;0;0;0;1;
2004 21 6;312;29042160211;1;0;0;0;1;0;0;1;
2004 21 6;313;29042160007;8;0;0;1;0;0;0;1;
2004 21 6;314;29042160266;12;0;0;0;1;0;0;1;
2004 21 6;315;29042160318;12;0;0;0;1;0;0;1;
2004 21 6;316;29042210707;12;0;0;1;0;0;1;0;
2004 21 6;317;29042160003;8;0;0;1;0;0;0;1;
2004 21 6;318;29042160008;8;0;0;1;0;0;0;1;
2004 21 6;319;29042210368;2;0;0;0;1;0;0;1;
2004 21 6;320;29042210393;2;0;0;0;1;0;0;1;
2004 21 6;321;29042210729;11;0;0;1;0;0;0;0;
2004 21 6;322;29042210573;11;0;0;1;0;0;0;0;
2004 21 6;323;29042210549;11;0;0;1;0;0;0;0;
2004 21 6;324;29042160141;3;0;0;0;1;0;0;1;
2004 21 6;325;29042160085;3;0;0;0;1;0;0;1;
2004 21 6;326;29042210070;3;0;0;1;0;0;0;1;
2004 21 6;327;29042210087;3;0;0;1;0;0;0;1;
2004 21 6;328;29042210079;3;0;0;1;0;0;0;1;
2004 21 6;329;29042160153;3;0;0;0;1;0;0;1;
2004 21 6;330;29042160148;3;0;0;0;1;0;0;1;
2004 21 6;331;29042210060;3;0;0;1;0;0;0;1;
2004 21 6;332;29042460084;5;0;0;1;0;0;0;1;
2004 21 6;333;29042460087;5;0;0;1;0;0;0;1;
2004 21 6;334;29042150222;5;0;0;0;1;1;0;1;
2004 21 6;335;29042230579;5;1;0;1;0;0;0;1;
2004 21 6;336;29042160236;5;0;0;0;1;0;0;1;
2004 21 6;337;29042510146;5;0;0;1;0;0;0;1;
2004 21 6;338;29042460085;5;0;0;1;0;0;0;1;
2004 21 6;339;29042150266;5;0;0;0;1;1;0;1;
2004 21 6;340;29042520011;5;0;0;1;0;0;0;1;
2004 21 6;341;29042160049;5;0;0;0;1;0;0;1;
2004 21 6;342;29042150477;5;0;0;1;0;0;0;1;
2004 21 6;343;29042160139;5;0;0;0;1;0;0;1;
2004 21 6;344;29042510145;5;0;0;1;0;0;0;1;
2004 21 6;345;29042510165;5;0;0;1;0;0;0;1;
2004 21 6;346;29042510198;5;0;0;1;0;0;0;1;
2004 21 6;347;29042160102;1;0;0;0;1;0;0;1;
2004 21 6;348;29042160125;1;0;0;0;1;0;0;1;
2004 21 6;349;29042510132;5;0;0;1;0;0;0;1;
2004 21 6;350;29042510158;5;0;0;1;0;0;0;1;
2004 21 6;351;29042460058;5;0;0;1;0;0;0;1;
2004 21 6;352;29042210396;2;0;0;0;1;0;0;1;
2004 21 6;353;29042210383;2;0;0;0;1;0;0;1;
2004 21 6;354;29042520006;5;0;0;1;0;0;0;1;
2004 21 6;355;29042510129;5;0;0;1;0;0;0;1;
2004 21 6;356;29042150470;5;0;0;1;0;0;0;1;
2004 21 6;357;29042210388;2;0;0;0;1;0;0;1;
2004 21 6;358;29042210389;2;0;0;0;1;0;0;1;
2004 21 6;359;29042460089;5;0;0;1;0;0;0;1;
2004 21 6;360;29042150484;5;0;0;1;0;0;0;1;
2004 21 6;361;29042460076;5;0;0;1;0;0;0;1;
2004 21 6;362;29042160307;7;0;0;0;1;0;0;1;
2004 21 6;363;29042160259;7;0;0;0;1;0;0;1;
2004 21 6;364;29042510138;5;0;0;1;0;0;0;1;
2004 21 6;365;29042520024;5;0;0;1;0;0;0;1;
2004 21 6;366;29042510162;5;0;0;1;0;0;0;1;
2004 21 6;367;29042160111;1;0;0;0;1;1;0;1;
2004 21 6;368;29042160124;1;0;0;0;1;0;0;1;
2004 21 6;369;29042510201;5;0;0;1;0;0;0;1;
2004 21 6;370;29042150471;5;0;0;1;0;0;0;1;
2004 21 6;371;29042510184;5;0;0;1;0;0;0;1;
2004 21 6;372;29042160194;1;0;0;0;1;0;0;1;
2004 21 6;373;29042160081;1;0;0;0;1;1;0;1;
2004 21 6;374;29042160508;1;1;0;1;0;0;0;0;
2004 21 6;375;29042160551;1;0;0;1;0;0;0;0;
2004 21 6;376;29042160086;1;0;0;0;1;0;0;1;
2004 21 6;377;29042160103;1;0;0;0;1;0;0;1;
2004 21 6;378;29042510180;5;0;0;1;0;0;0;1;
2004 21 6;379;29042510183;5;0;0;1;0;0;0;1;
2004 21 6;380;29042510199;5;0;0;1;0;0;0;1;
2004 21 6;381;29042160330;7;0;0;0;1;0;0;1;
2004 21 6;382;29042160341;7;0;0;0;1;0;0;1;
2004 21 6;383;29042460108;5;0;0;1;0;0;0;1;
2004 21 6;384;29042510149;5;0;0;1;0;0;0;1;
2004 21 6;385;29042510181;5;0;0;1;0;0;0;1;
2004 21 6;386;29042160131;1;0;0;0;1;0;0;1;
2004 21 6;387;29042160198;1;0;0;0;1;1;0;1;
2004 21 6;388;29042220644;8;1;0;1;0;0;0;0;
2004 21 6;389;29042160013;8;0;0;1;0;0;0;1;
2004 21 6;390;29042160107;1;0;0;0;1;0;0;1;
2004 21 6;391;29042160090;1;0;0;0;1;0;0;1;
2004 21 6;392;29042160015;8;0;0;1;0;0;0;1;
2004 21 6;393;29042160040;8;0;0;1;0;0;0;1;
2004 21 6;394;29042160511;8;0;0;1;0;0;0;0;
2004 21 6;395;29042160110;1;0;0;0;1;0;0;1;
2004 21 6;396;29042160189;1;0;0;0;1;0;0;1;
2004 21 6;397;29042160028;8;0;0;1;0;0;0;1;
2004 21 6;398;29042160026;8;0;0;1;0;0;0;1;
2004 21 6;399;29042160036;8;0;0;1;0;0;0;1;
2004 21 6;400;29042160093;1;0;0;0;1;0;0;1;
2004 21 6;401;29042160185;1;0;0;0;1;0;0;1;
2004 21 6;402;29042160042;8;0;0;1;0;0;0;1;
2004 21 6;403;29042160004;8;0;0;1;0;0;0;1;
2004 21 6;404;29042160043;8;0;0;1;0;0;0;1;
